clim.mean,clim.var,pop.var,lt.pop.lam,asp.effect,asp.mag,clim.sd,rho,rep,move.rate
8.597547517412916e-6,9.773131703171887e-7,2.3383716682345647e-15,1.0008438949196263,"-1,1",0,0.001,0,1,0.05
7.477019344222804e-6,9.980072219582067e-7,1.7406323950503076e-15,1.000843895056492,"-1,1",0,0.001,0.2,1,0.05
3.22619757026845e-5,9.848623217842236e-7,2.9736438576366217e-15,0.9994313007758346,"-1,1",1,0.001,0,1,0.05
5.909459641192766e-5,1.0563195622932953e-6,2.7883599519083202e-15,0.999431299690812,"-1,1",1,0.001,0.2,1,0.05
5.1765649747330134e-5,9.403451320697974e-7,1.4985760672952062e-14,0.9999717230693246,"-1,1",2,0.001,0,1,0.05
1.5750755272424907e-5,1.0320171990373684e-6,1.4303439614110723e-14,0.9999717219360077,"-1,1",2,0.001,0.2,1,0.05
-3.5606280875981786e-5,1.024892812796566e-6,7.374706657870677e-14,1.0013123649719045,"-1,1",3,0.001,0,1,0.05
-4.951640837217694e-5,1.133534566873266e-6,7.844062285566251e-14,1.0013123642438682,"-1,1",3,0.001,0.2,1,0.05
-1.476109444500332e-4,8.711462825555171e-7,2.777211177519762e-13,0.9998077520506099,"-1,1",4,0.001,0,1,0.05
-6.248894926439242e-5,1.0872217817290278e-6,3.375668974926088e-13,0.9998077599333905,"-1,1",4,0.001,0.2,1,0.05
-5.9736031577530106e-5,1.0565445771853422e-6,9.260784637778916e-13,1.0005721583887175,"-1,1",5,0.001,0,1,0.05
-1.0016186927554224e-5,9.987164354754854e-7,1.001273465237688e-12,1.0005721435091688,"-1,1",5,0.001,0.2,1,0.05
-1.1880167698534836e-5,1.007528411075146e-6,2.7400591181825206e-12,1.000206989255254,"-1,1",6,0.001,0,1,0.05
-7.082956666777787e-5,8.882141266182996e-7,2.795416736189383e-12,1.0002069731886996,"-1,1",6,0.001,0.2,1,0.05
-9.894064004216222e-6,9.129091685790184e-7,6.925732370911115e-12,0.9995223032726213,"-1,1",7,0.001,0,1,0.05
-3.740414709969221e-6,8.445094558744464e-7,8.120804841989056e-12,0.9995223045372084,"-1,1",7,0.001,0.2,1,0.05
3.321896982259009e-5,8.855178515002041e-7,1.649918663459538e-11,0.9999144970851951,"-1,1",8,0.001,0,1,0.05
3.5772261642353314e-6,1.03608838044824e-6,1.585866969299222e-11,0.9999145001067316,"-1,1",8,0.001,0.2,1,0.05
7.932909846557266e-5,9.727247353724034e-7,3.7969953246238994e-11,0.999047796477964,"-1,1",9,0.001,0,1,0.05
7.610302472355504e-5,9.447672307747998e-7,3.283057834445112e-11,0.9990478314887903,"-1,1",9,0.001,0.2,1,0.05
2.482784207841537e-5,1.0296357606314812e-6,5.183482817966486e-11,1.0003125712735164,"-1,1",10,0.001,0,1,0.05
-5.893875119494795e-6,1.0324649318412943e-6,6.085382440785523e-11,1.0003119851042515,"-1,1",10,0.001,0.2,1,0.05
1.2282710858170802e-4,9.56354275708653e-7,7.593714666296434e-11,1.0001841155370106,"-1,1",11,0.001,0,1,0.05
-6.954106200165194e-5,7.738441959887641e-7,7.181712326496198e-11,1.0001818065757535,"-1,1",11,0.001,0.2,1,0.05
1.9664555495141666e-5,1.028715707142832e-6,7.298764254566442e-11,0.9996733450992296,"-1,1",12,0.001,0,1,0.05
1.223649354416122e-4,9.393273914658019e-7,8.383508412213647e-11,0.999674821164821,"-1,1",12,0.001,0.2,1,0.05
6.383282813653935e-5,1.0486102665868674e-6,2.8274359697697716e-10,0.88206922231427,"-1,1",13,0.001,0,1,0.05
-3.388937408336979e-5,8.746469116677166e-7,2.7393334920190015e-10,0.8820675187114855,"-1,1",13,0.001,0.2,1,0.05
-3.328113197130781e-5,8.680389274229011e-7,3.7666212289400816e-10,0.8108519199404902,"-1,1",14,0.001,0,1,0.05
-9.800549881512494e-5,1.026839280017028e-6,4.3459952787241537e-10,0.8108516311316754,"-1,1",14,0.001,0.2,1,0.05
-4.327883511410609e-6,8.671752649724258e-7,3.1214190001666733e-10,0.7460124527752502,"-1,1",15,0.001,0,1,0.05
1.837490362055983e-4,9.845588866388388e-7,3.241705512353902e-10,0.7460157383411801,"-1,1",15,0.001,0.2,1,0.05
-3.954808588709616e-5,8.777173453797495e-7,2.2208902243421957e-10,0.6849804851634267,"-1,1",16,0.001,0,1,0.05
-1.4483709600824206e-4,9.744566485943073e-7,2.2434603494415016e-10,0.6849796825146011,"-1,1",16,0.001,0.2,1,0.05
3.046642118161453e-6,8.721264523214962e-7,9.117363889650557e-11,0.6376611838495663,"-1,1",17,0.001,0,1,0.05
3.8589963473284234e-5,9.147798822757323e-7,1.0210147014701597e-10,0.6376615199835831,"-1,1",17,0.001,0.2,1,0.05
4.662457046794704e-5,9.724789744053529e-7,2.770328154505845e-11,0.6087167481564371,"-1,1",18,0.001,0,1,0.05
9.770701610738386e-6,1.0497086841358984e-6,2.911125091465472e-11,0.6087166376624082,"-1,1",18,0.001,0.2,1,0.05
-2.7418610504648795e-6,1.0125089609013504e-6,7.500209063537788e-12,0.5813985044533909,"-1,1",19,0.001,0,1,0.05
2.6404060911735925e-6,1.0941334529759038e-6,7.690853887369734e-12,0.5813985844290228,"-1,1",19,0.001,0.2,1,0.05
-1.8123034406956591e-4,1.0210113995302594e-6,1.927639861361021e-12,0.5617506920667614,"-1,1",20,0.001,0,1,0.05
1.1392841112269106e-4,1.0896478042477638e-6,2.5528927726531226e-12,0.5617510348292435,"-1,1",20,0.001,0.2,1,0.05
0.015206122107725865,0.8931437381751647,1.0590539052155183e-6,0.9995836769786258,"-1,1",0,1,0,1,0.05
0.037526659736893016,0.9669945181058355,1.444775388922424e-6,0.9994716297411104,"-1,1",0,1,0.2,1,0.05
-0.0674956030501495,1.0555924163631907,1.2924036236185155e-6,0.9979316137275588,"-1,1",1,1,0,1,0.05
0.03613777349325028,0.992374185225431,1.7403802344041495e-6,0.9980216089453483,"-1,1",1,1,0.2,1,0.05
-0.057657762422195155,1.1428577150016481,1.9777218435213525e-6,0.9982489037990754,"-1,1",2,1,0,1,0.05
-0.08204650121149804,1.1010408482683238,2.393545058566581e-6,0.9983588375247305,"-1,1",2,1,0.2,1,0.05
-0.004100480235932204,1.0307518526729753,2.9701608506782185e-6,0.9996081407486587,"-1,1",3,1,0,1,0.05
0.08278605097030305,1.1327538044306364,2.6651797261227074e-6,0.999538017794693,"-1,1",3,1,0.2,1,0.05
0.01630457886807469,1.067192033402111,4.407443798271681e-6,0.9978177000450497,"-1,1",4,1,0,1,0.05
-0.1315791018426866,0.9173941097923181,4.669869838017441e-6,0.9982667608871112,"-1,1",4,1,0.2,1,0.05
0.07197879471083236,1.049704666372607,8.505571917134743e-6,0.9983680686555783,"-1,1",5,1,0,1,0.05
0.0738551008373281,0.8863159867542643,6.055716182561864e-6,0.9988386269344225,"-1,1",5,1,0.2,1,0.05
-0.028043001690001193,0.9619388709473103,8.993043147018363e-6,0.997908790304028,"-1,1",6,1,0,1,0.05
-0.21143325240852018,0.9740023134052014,4.3503303070275886e-5,0.9997822850656982,"-1,1",6,1,0.2,1,0.05
0.011892049567452621,0.9744976657917964,2.159792864798288e-5,0.9968824761312681,"-1,1",7,1,0,1,0.05
0.006650183118507486,0.9470907917848508,2.0574862049758057e-5,0.9969314318052788,"-1,1",7,1,0.2,1,0.05
0.11482534945850478,0.9021270132940931,1.260864173725772e-4,0.9992539452196908,"-1,1",8,1,0,1,0.05
-0.05659231327491257,1.0851386401140757,2.1241268742696524e-4,0.9987977410718075,"-1,1",8,1,0.2,1,0.05
-0.015941490354309466,1.1559133532556252,2.9465170921128285e-4,0.9976210518689612,"-1,1",9,1,0,1,0.05
