clim.mean,clim.var,pop.var,lt.pop.lam,sub.corr,clim.sd,rho,asp.mag,rep,asp.effects,AtoB,BtoA
-4.997547542384717e-8,9.445089671160178e-13,2.2863406416179754e-21,1.0008438967064783,1,0.001,0,0,1,,0,0
5.138945818810706e-8,1.1111202745438622e-12,1.910985641405698e-21,1.00084389670352,1,0.001,0.25,0,1,,0,0
8.629525002431403e-8,1.053720781716918e-12,1.3497072401314702e-21,1.0008438967025077,1,0.001,0.5,0,1,,0,0
-1.049292500561629e-8,9.110111897042579e-13,1.6963981888487216e-7,0.9986023604194773,-0.9999999999995681,0.001,0,1,1,,0,0
-1.3592436632564927e-8,9.580495195830741e-13,1.6964019594353241e-7,0.9986023588794825,-0.999999999999444,0.001,0.25,1,1,,0,0
3.7674509060107076e-8,1.2026457515720365e-12,1.6964007012944576e-7,0.9986023596049787,-0.9999999999992611,0.001,0.5,1,1,,0,0
-4.5386717887547235e-8,9.47931464565569e-13,3.1348774395281635e-7,0.9997245258927233,-0.9999999999998777,0.001,0,2,1,,0,0
1.2740126556888654e-7,1.0690613160129755e-12,3.1348616356522867e-7,0.9997245278401587,-0.999999999999849,0.001,0.25,2,1,,0,0
-4.255613156577706e-8,1.0213031619703965e-12,3.134877502017927e-7,0.9997245258518187,-0.9999999999998077,0.001,0.5,2,1,,0,0
-3.6807187422496577e-08,9.51943190413009e-13,6.194746429702866e-9,1.001383344084615,-0.9999999999999419,0.001,0,3,1,,0,0
6.358447999185553e-8,1.0121137188765146e-12,6.1943206399330436e-9,1.0013833455070433,-0.9999999999999365,0.001,0.25,3,1,,0,0
-8.469995391899071e-8,9.331335215267416e-13,6.194524091227284e-9,1.0013833442517457,-0.9999999999999433,0.001,0.5,3,1,,0,0
-6.630854100401028e-8,1.1288121637488926e-12,2.739912935405436e-12,0.9999465487385745,-0.9999999999999561,0.001,0,4,1,,0,0
1.5468145990648334e-7,9.74192473522326e-13,2.735048704191337e-12,0.9999465517467512,-0.9999999999999627,0.001,0.25,4,1,,0,0
-6.514301719159312e-8,1.0528009324247979e-12,2.738047596426224e-12,0.9999465487532535,-0.9999999999999609,0.001,0.5,4,1,,0,0
3.891186707078669e-8,1.1038579741340693e-12,1.3848217332603988e-16,1.0007634260781846,-0.999999999999973,0.001,0,5,1,,0,0
1.6536066317192108e-8,1.0002996464857083e-12,1.5697128878658984e-16,1.0007634257598148,-0.9999999999999755,0.001,0.25,5,1,,0,0
1.0655501952682937e-10,9.60010719604356e-13,1.7782379387141282e-16,1.0007634254274127,-0.9999999999999747,0.001,0.5,5,1,,0,0
-6.555751434802624e-8,9.399662041751226e-13,2.072928641003585e-16,1.0004647557421096,-0.9999999999999908,0.001,0,6,1,,0,0
-2.2608414341594504e-8,1.1087281779115877e-12,2.949844933778911e-16,1.0004647568735072,-0.9999999999999869,0.001,0.25,6,1,,0,0
-4.23623824869505e-8,9.895633569103726e-13,3.44157547595605e-16,1.000464756357248,-0.99999999999999,0.001,0.5,6,1,,0,0
1.4323469179844157e-8,9.463431819721565e-13,3.670366768807624e-16,0.9998642098797647,-0.9999999999999997,0.001,0,7,1,,0,0
9.20045846852848e-8,9.98943029436721e-13,5.2256036381735e-16,0.9998642124494092,-0.9999999999999996,0.001,0.25,7,1,,0,0
7.72889924769823e-9,9.893972023778793e-13,6.670506783418056e-16,0.9998642097528267,-0.9999999999999997,0.001,0.5,7,1,,0,0
5.397548683092831e-8,1.033323090065942e-12,7.338865360233164e-16,1.0003593324148117,-0.9999999999999934,0.001,0,8,1,,0,0
-2.7829637779504958e-8,1.0778515774084127e-12,1.0460127078013103e-15,1.000359328569619,-0.9999999999999922,0.001,0.25,8,1,,0,0
-8.784848339517114e-8,9.507020250046767e-13,1.0868560002649575e-15,1.0003593259882777,-0.9999999999999936,0.001,0.5,8,1,,0,0
6.56779612620392e-8,1.0090971165431705e-12,1.3473586543251844e-15,0.9996165699132372,-0.9999999999999691,0.001,0,9,1,,0,0
3.933159546620575e-8,9.915056996046846e-13,1.5460493284808027e-15,0.9996165682486515,-0.9999999999999757,0.001,0.25,9,1,,0,0
4.2288098219299165e-8,9.99653505174764e-13,2.1511413691074436e-15,0.9996165685606608,-0.9999999999999687,0.001,0.5,9,1,,0,0
9.205599837039354e-8,1.017848706121882e-12,2.4758304581763975e-15,1.0010159961941023,-0.9999999999999349,0.001,0,10,1,,0,0
-1.066259451246427e-8,1.0308159870630034e-12,3.0377573024777316e-15,1.001015987850472,-0.9999999999999345,0.001,0.25,10,1,,0,0
-3.158554250305992e-8,1.0156628840848564e-12,3.69006790214664e-15,1.0010159864619437,-0.9999999999999417,0.001,0.5,10,1,,0,0
-5.511164708049864e-8,9.915750357680547e-13,3.457032420595453e-15,1.0010179205229364,-0.9999999999999215,0.001,0,11,1,,0,0
-8.778588472231079e-8,8.995434811747716e-13,4.031246490907905e-15,1.0010179172636744,-0.9999999999999251,0.001,0.25,11,1,,0,0
3.582145772167593e-8,1.0208666044355793e-12,6.794615606233375e-15,1.001017929145592,-0.9999999999999113,0.001,0.5,11,1,,0,0
3.5555136548969243e-9,9.827998852576953e-13,5.657511461003264e-15,1.0006041866978261,-0.999999999999882,0.001,0,12,1,,0,0
3.328893163008042e-8,8.273187382555955e-13,5.672873612235155e-15,1.0006041898118005,-0.9999999999999151,0.001,0.25,12,1,,0,0
1.606977861062764e-7,1.1705955635254076e-12,1.0962667874600071e-14,1.0006042051726827,-0.9999999999998684,0.001,0.5,12,1,,0,0
-5.272772360173923e-8,9.990728448472025e-13,4.78835198477736e-15,0.9014332733255693,-0.9999999999999047,0.001,0,13,1,,0,0
-6.131665519246866e-8,1.0029521776031385e-12,6.554113104290547e-15,0.9014332723093557,-0.9999999999998824,0.001,0.25,13,1,,0,0
5.263160747734542e-8,1.1385761014369256e-12,9.581201919335194e-15,0.9014332845286351,-0.9999999999998771,0.001,0.5,13,1,,0,0
-2.31611788025859e-8,9.13279583539553e-13,4.10133854035067e-15,0.8287257185898242,-0.9999999999997796,0.001,0,14,1,,0,0
3.560380029327224e-8,1.009275301863737e-12,5.908730269222211e-15,0.8287257243883646,-0.9999999999997891,0.001,0.25,14,1,,0,0
1.6834310328731263e-8,1.0553243706272934e-12,7.543008289958925e-15,0.828725722665597,-0.9999999999997742,0.001,0.5,14,1,,0,0
