pop_group,lam_geom,lam_var,lam_stoch,clim.mean,clim.var,asp.effects,asp.mag,clim.sd,rho,rep,move.rate,mean.sub.corr
s_1,0.8847477816926412,1.605030789424298e-8,0.8847477745924041,6.119399114644604e-5,1.112200778396485e-6,"-1,1",13,0.001,0,1,0.05,-0.9999999830413644
pop,0.8859985140036619,5.709599388445993e-10,0.8859985137507271,8.917847307134246e-6,9.824004397378357e-7,"-1,1",13,0.001,0.2,1,0.05,-0.9999999844971388
s_-1,0.8870604067193802,1.4047363813530324e-8,0.8870604004889501,8.917847307134246e-6,9.824004397378357e-7,"-1,1",13,0.001,0.2,1,0.05,-0.9999999844971388
s_1,0.8847533377891873,1.4177142254409892e-8,0.8847533315175504,8.917847307134246e-6,9.824004397378357e-7,"-1,1",13,0.001,0.2,1,0.05,-0.9999999844971388
pop,0.8158275624651041,8.668364608960433e-10,0.8158275621115096,4.699543459486636e-5,1.1778560694908937e-6,"-1,1",14,0.001,0,1,0.05,-0.9999999536179074
s_-1,0.8168739773920798,1.7466006428324326e-8,0.8168739702583167,4.699543459486636e-5,1.1778560694908937e-6,"-1,1",14,0.001,0,1,0.05,-0.9999999536179074
s_1,0.8145783064700631,1.7550569816016733e-8,0.8145782993219064,4.699543459486636e-5,1.1778560694908937e-6,"-1,1",14,0.001,0,1,0.05,-0.9999999536179074
pop,0.8158278321698845,8.733803531632564e-10,0.8158278318136206,4.471773005977449e-5,9.883481856914386e-7,"-1,1",14,0.001,0.2,1,0.05,-0.9999999668519608
s_-1,0.8168737502233941,1.4655896428246991e-8,0.8168737442373856,4.471773005977449e-5,9.883481856914386e-7,"-1,1",14,0.001,0.2,1,0.05,-0.9999999668519608
s_1,0.8145785323304712,1.4726784095916948e-8,0.8145785263324101,4.471773005977449e-5,9.883481856914386e-7,"-1,1",14,0.001,0.2,1,0.05,-0.9999999668519608
pop,0.7448734696706206,1.0596984049038946e-9,0.74487346927595,2.2276840741853748e-6,1.025890788091205e-6,"-1,1",15,0.001,0,1,0.05,-0.9999999522769722
s_-1,0.7458066088934941,1.363035883259007e-8,0.7458066038106883,2.2276840741853748e-6,1.025890788091205e-6,"-1,1",15,0.001,0,1,0.05,-0.9999999522769722
s_1,0.743752460588015,1.3625661751974253e-8,0.7437524555209554,2.2276840741853748e-6,1.025890788091205e-6,"-1,1",15,0.001,0,1,0.05,-0.9999999522769722
pop,0.7448722953944467,9.516583105530432e-10,0.7448722950400147,-9.13968856351698e-5,9.792582587410233e-7,"-1,1",15,0.001,0.2,1,0.05,-0.9999999319567223
s_-1,0.7457985601393825,1.3010476795409116e-8,0.745798555287785,-9.13968856351698e-5,9.792582587410233e-7,"-1,1",15,0.001,0.2,1,0.05,-0.9999999319567223
s_1,0.7437604854340649,1.3006609905954481e-8,0.7437604805971637,-9.13968856351698e-5,9.792582587410233e-7,"-1,1",15,0.001,0.2,1,0.05,-0.9999999319567223
pop,0.6840907890531966,8.039553984569149e-10,0.6840907887782074,6.57314709853583e-5,9.630825897539345e-7,"-1,1",16,0.001,0,1,0.05,-0.9999999299678393
s_-1,0.6848560365542418,9.963926673373217e-9,0.6848560331423141,6.57314709853583e-5,9.630825897539345e-7,"-1,1",16,0.001,0,1,0.05,-0.9999999299678393
s_1,0.6831808972722507,9.90703279186369e-9,0.683180893888103,6.57314709853583e-5,9.630825897539345e-7,"-1,1",16,0.001,0,1,0.05,-0.9999999299678393
pop,0.6840917000812677,8.096808280842741e-10,0.6840916998043197,1.4918286259682034e-4,9.641458385832204e-7,"-1,1",16,0.001,0.2,1,0.05,-0.9999999055949548
s_-1,0.6848618497273066,9.974924215932078e-9,0.684861846311584,1.4918286259682034e-4,9.641458385832204e-7,"-1,1",16,0.001,0.2,1,0.05,-0.9999999055949548
s_1,0.6831751148137868,9.917972912980637e-9,0.6831751114259306,1.4918286259682034e-4,9.641458385832204e-7,"-1,1",16,0.001,0.2,1,0.05,-0.9999999055949548
pop,0.641254552326105,3.219894007549845e-10,0.6412545522228664,-2.9974101757705196e-5,1.0383089417392258e-6,"-1,1",17,0.001,0,1,0.05,-0.9999998689937784
s_-1,0.6418179221576086,7.569354814971276e-9,0.6418179197285349,-2.9974101757705196e-5,1.0383089417392258e-6,"-1,1",17,0.001,0,1,0.05,-0.9999998689937784
s_1,0.6406070492849777,7.498729242237675e-9,0.6406070468831083,-2.9974101757705196e-5,1.0383089417392258e-6,"-1,1",17,0.001,0,1,0.05,-0.9999998689937784
pop,0.6412543182843923,3.3428628491308357e-10,0.641254318177211,-6.850985891974245e-5,9.468573986338452e-7,"-1,1",17,0.001,0.2,1,0.05,-0.9999998642275286
s_-1,0.6418158097550353,6.902334968423777e-9,0.6418158075400214,-6.850985891974245e-5,9.468573986338452e-7,"-1,1",17,0.001,0.2,1,0.05,-0.9999998642275286
s_1,0.6406091465346464,6.8385912365945485e-9,0.6406091443442143,-6.850985891974245e-5,9.468573986338452e-7,"-1,1",17,0.001,0.2,1,0.05,-0.9999998642275286
pop,0.6037709785605383,1.3454236889708301e-10,0.6037709785199219,7.028128272236558e-5,1.0224785425553684e-6,"-1,1",18,0.001,0,1,0.05,-0.9999998064133571
s_-1,0.6041725545305131,4.447616798401013e-9,0.6041725531869491,7.028128272236558e-5,1.0224785425553684e-6,"-1,1",18,0.001,0,1,0.05,-0.9999998064133571
s_1,0.603322241284745,4.392940309395673e-9,0.6033222399595657,7.028128272236558e-5,1.0224785425553684e-6,"-1,1",18,0.001,0,1,0.05,-0.9999998064133571
pop,0.6037706909194475,1.1829434843502854e-10,0.6037706908837361,-2.1187325650930452e-5,9.645456427081966e-7,"-1,1",18,0.001,0.2,1,0.05,-0.9999998634101626
s_-1,0.6041689095540029,4.195178196854418e-9,0.6041689082867049,-2.1187325650930452e-5,9.645456427081966e-7,"-1,1",18,0.001,0.2,1,0.05,-0.9999998634101626
s_1,0.6033258582696646,4.144475884611351e-9,0.6033258570194298,-2.1187325650930452e-5,9.645456427081966e-7,"-1,1",18,0.001,0.2,1,0.05,-0.9999998634101626
pop,0.577384284113253,4.307249099926149e-11,0.5773842841008184,-3.375964942977134e-5,9.658620436594823e-7,"-1,1",19,0.001,0,1,0.05,-0.9999998856651338
s_-1,0.5776546522608844,2.262430518733809e-9,0.5776546516074327,-3.375964942977134e-5,9.658620436594823e-7,"-1,1",19,0.001,0,1,0.05,-0.9999998856651338
s_1,0.5770909035535076,2.2320570263724938e-9,0.5770909029094577,-3.375964942977134e-5,9.658620436594823e-7,"-1,1",19,0.001,0,1,0.05,-0.9999998856651338
pop,0.5773844765196567,4.074013625550316e-11,0.5773844765078954,3.7451104781386134e-5,1.1456701338542605e-6,"-1,1",19,0.001,0.2,1,0.05,-0.9999998366231811
s_-1,0.577656644071436,2.683638533121896e-9,0.5776566432963253,3.7451104781386134e-5,1.1456701338542605e-6,"-1,1",19,0.001,0.2,1,0.05,-0.9999998366231811
s_1,0.5770889289491634,2.6475582594184846e-9,0.5770889281852252,3.7451104781386134e-5,1.1456701338542605e-6,"-1,1",19,0.001,0.2,1,0.05,-0.9999998366231811
pop,0.5646567296734101,8.579696353417555e-12,0.5646567296709878,1.236229801815483e-4,1.033051021423227e-6,"-1,1",20,0.001,0,1,0.05,-0.9999998193748633
s_-1,0.5648382529546401,1.3233229627807112e-9,0.5648382525809084,1.236229801815483e-4,1.033051021423227e-6,"-1,1",20,0.001,0,1,0.05,-0.9999998193748633
s_1,0.5644647832498146,1.3067602101668322e-9,0.5644647828810045,1.236229801815483e-4,1.033051021423227e-6,"-1,1",20,0.001,0,1,0.05,-0.9999998193748633
pop,0.5646566505188344,8.21587491219667e-12,0.5646566505165149,6.251027646981512e-5,9.175469880099979e-7,"-1,1",20,0.001,0.2,1,0.05,-0.9999998066152688
s_-1,0.5648370170824613,1.1752018685460767e-9,0.5648370167505624,6.251027646981512e-5,9.175469880099979e-7,"-1,1",20,0.001,0.2,1,0.05,-0.9999998066152688
s_1,0.5644660097263305,1.16081352860637e-9,0.5644660093987107,6.251027646981512e-5,9.175469880099979e-7,"-1,1",20,0.001,0.2,1,0.05,-0.9999998066152688
pop,0.9996097017569311,9.472789559482594e-7,0.9996092283024259,0.07023799944915488,0.8701276217140866,"-1,1",0,1,0,1,0.05,NA
s_-1,0.9996085117109446,2.803513160895513e-6,0.9996071105041174,0.07023799944915488,0.8701276217140866,"-1,1",0,1,0,1,0.05,NA
s_1,0.9996085117109446,2.803513160895513e-6,0.9996071105041174,0.07023799944915488,0.8701276217140866,"-1,1",0,1,0,1,0.05,NA
pop,0.9992302052460099,1.5203111154560062e-6,0.9992294456759045,-0.031020454125764874,1.1335155370216308,"-1,1",0,1,0.2,1,0.05,NA
s_-1,0.9992454482379317,4.112349087216758e-6,0.9992433936169905,-0.031020454125764874,1.1335155370216308,"-1,1",0,1,0.2,1,0.05,NA
s_1,0.9992454482379317,4.112349087216758e-6,0.9992433936169905,-0.031020454125764874,1.1335155370216308,"-1,1",0,1,0.2,1,0.05,NA
pop,0.9978319065339041,1.6730614023722298e-6,0.9978310718172289,-0.08513151483813254,1.1267015678329744,"-1,1",1,1,0,1,0.05,-0.31007099999454485
s_-1,0.9976147650160252,1.7211292023253247e-5,0.9976061799334417,-0.08513151483813254,1.1267015678329744,"-1,1",1,1,0,1,0.05,-0.31007099999454485
s_1,0.9980383579117359,1.0915953998457078e-5,0.9980329106561996,-0.08513151483813254,1.1267015678329744,"-1,1",1,1,0,1,0.05,-0.31007099999454485
pop,0.9980540032260109,1.6379171331635079e-6,0.9980531858614697,0.009664046609635822,0.9657235830315313,"-1,1",1,1,0.2,1,0.05,-0.29426919481837305
s_-1,0.9981195709451665,1.3065736291604082e-5,0.9981130503829148,0.009664046609635822,0.9657235830315313,"-1,1",1,1,0.2,1,0.05,-0.29426919481837305
s_1,0.9980040263761933,1.1210469174178786e-5,0.9979984323451846,0.009664046609635822,0.9657235830315313,"-1,1",1,1,0.2,1,0.05,-0.29426919481837305
pop,0.9985034884685359,1.9866938008395476e-6,0.9985024966086832,0.06926063176192172,0.9886570108048591,"-1,1",2,1,0,1,0.05,-0.7574131457463703
s_-1,0.998961851429463,3.21345391082802e-5,0.9989458009690657,0.06926063176192172,0.9886570108048591,"-1,1",2,1,0,1,0.05,-0.7574131457463703
s_1,0.9980047084635983,4.793247388856592e-5,0.9979807903328987,0.06926063176192172,0.9886570108048591,"-1,1",2,1,0,1,0.05,-0.7574131457463703
pop,0.9983524715448662,2.368207820978834e-6,0.9983512893925005,0.05373853707419324,1.084140653001741,"-1,1",2,1,0.2,1,0.05,-0.7527915459914568
s_-1,0.9987253147310142,4.430745390830803e-5,0.9987031894881686,0.05373853707419324,1.084140653001741,"-1,1",2,1,0.2,1,0.05,-0.7527915459914568
s_1,0.9979633043886988,4.298271618125612e-5,0.9979418570324302,0.05373853707419324,1.084140653001741,"-1,1",2,1,0.2,1,0.05,-0.7527915459914568
pop,0.9998998339894145,1.7304228554131522e-6,0.9998989688650258,0.07346347677558647,0.8653009440643784,"-1,1",3,1,0,1,0.05,-0.9053807172157757
s_-1,1.0006884992946758,7.818032059771713e-5,1.0006493829853655,0.07346347677558647,0.8653009440643784,"-1,1",3,1,0,1,0.05,-0.9053807172157757
s_1,0.9990872237672426,8.674929714450025e-5,0.9990438896498265,0.07346347677558647,0.8653009440643784,"-1,1",3,1,0,1,0.05,-0.9053807172157757
pop,0.9998496971044468,2.0613141670106145e-6,0.999848666602805,-0.09545868135240221,0.9437658474454297,"-1,1",3,1,0.2,1,0.05,-0.9147010852485237
s_-1,0.9989541309305178,9.852834915764576e-5,0.9989049194920058,-0.09545868135240221,0.9437658474454297,"-1,1",3,1,0.2,1,0.05,-0.9147010852485237
s_1,1.000569903889715,8.055089299412884e-5,1.0005296063015914,-0.09545868135240221,0.9437658474454297,"-1,1",3,1,0.2,1,0.05,-0.9147010852485237
pop,0.9977859663781593,5.436447405641166e-6,0.9977832541763814,0.10553088509778957,1.187308695485545,"-1,1",4,1,0,1,0.05,-0.9398579634350398
s_-1,0.9992204919418815,2.476510267116406e-4,0.9990967706115977,0.10553088509778957,1.187308695485545,"-1,1",4,1,0,1,0.05,-0.9398579634350398
s_1,0.9960751426513484,2.1184246835981405e-4,0.9959696427303425,0.10553088509778957,1.187308695485545,"-1,1",4,1,0,1,0.05,-0.9398579634350398
pop,0.9978441487457269,5.036664138060599e-6,0.9978416358459713,-0.022052443537526643,1.0825720974266153,"-1,1",4,1,0.2,1,0.05,-0.9291968643986381
s_-1,0.9977020802535117,2.262363885835602e-4,0.9975892283786727,-0.022052443537526643,1.0825720974266153,"-1,1",4,1,0.2,1,0.05,-0.9291968643986381
s_1,0.998018849346442,1.9555703057298047e-4,0.997921269315818,-0.022052443537526643,1.0825720974266153,"-1,1",4,1,0.2,1,0.05,-0.9291968643986381
pop,0.9987491544948688,6.155177098422851e-6,0.9987460807606372,-0.009561123360256408,0.8596642618619452,"-1,1",5,1,0,1,0.05,-0.9542464081812383
s_-1,0.9988326497445456,3.1553443268037565e-4,0.9986750791278712,-0.009561123360256408,0.8596642618619452,"-1,1",5,1,0,1,0.05,-0.9542464081812383
s_1,0.9987788586918932,3.25578669740459e-4,0.9986162813790896,-0.009561123360256408,0.8596642618619452,"-1,1",5,1,0,1,0.05,-0.9542464081812383
pop,0.99850222841937,6.4120792247080145e-6,0.9984990271868043,0.0013102459295509755,1.0024277381012843,"-1,1",5,1,0.2,1,0.05,-0.9624954727226106
s_-1,0.9987450083399475,3.730270941117528e-4,0.9985587462365805,0.0013102459295509755,1.0024277381012843,"-1,1",5,1,0.2,1,0.05,-0.9624954727226106
