clim.mean,clim.var,pop.var,lt.pop.lam,sub.corr,clim.sd,asp.mag,rep,asp.effects,AtoB,BtoA
-4.1943530973770627e-8,8.941032542334436e-13,1.2875141870550755e-21,1.0008438967064837,1,0.001,0,1,,0,0
-1.2748178354485657e-7,1.4690968018450224e-12,5.920210002384809e-11,1.0000296200437846,0.9999999999999402,0.001,2,1,,0,0
-2.63352431198964e-7,7.197534113315393e-13,7.001223983242089e-17,0.9999469093206746,0.9999999999999197,0.001,4,1,,0,0
-1.148557912446687e-7,8.937999966233787e-13,3.3042449349160253e-16,1.0004647547356396,0.9999999999681265,0.001,6,1,,0,0
-1.8020619713121817e-8,1.2374696632068622e-12,1.594430869614381e-15,1.0003593287344394,0.9999961978390222,0.001,8,1,,0,0
-8.605419285044896e-8,7.760787826968364e-13,2.6385820301233463e-15,1.0010159832590004,0.8377165120445821,0.001,10,1,,0,0
1.6107711874556876e-7,1.160952004166843e-12,1.1413473802898306e-14,1.000604205085015,NA,0.001,12,1,,0,0
1.7204515236200467e-7,7.849960889981208e-13,5.946857871179849e-15,0.8374352362362989,NA,0.001,14,1,,0,0
8.944497193769954e-8,1.1952832202318112e-12,4.743741149779107e-15,0.7058790055687205,NA,0.001,16,1,,0,0
1.3645895881792534e-8,8.07086979316814e-13,1.3030772350638991e-11,0.6155996495795736,NA,0.001,18,1,,0,0
1.478822997696858e-7,1.2516367366637029e-12,1.6038711775707925e-8,0.5757689671684205,NA,0.001,20,1,,0,0
0.1088408366427592,14.883815356126684,6.60361725322124e-4,0.9782066632411998,1,2,0,1,,0,0
-0.9416166399853002,15.771392387906856,0.002276053418483125,0.965845630395559,0.7837694215522206,2,2,1,,0,0
-0.3228741749111833,17.532232123852424,0.002918383664697375,0.9610576443269898,0.3847823279695505,2,4,1,,0,0
0.13637540577165946,19.413851019395718,0.009987566350779969,0.9554066354739155,0.09850936902118376,2,6,1,,0,0
-1.4934507126714147,16.335255087709577,0.024352174592299457,0.8896356507864251,0.5109055421494108,2,8,1,,0,0
-0.4923536521850686,13.879871989855282,0.03981567443742754,0.9323930744966835,0.48216668502834864,2,10,1,,0,0
-0.08993020068127333,17.966418785673024,0.1113382098853271,0.9858075491296153,0.5243489866425531,2,12,1,,0,0
-0.6075081212826676,12.668265817572571,0.07588701152560766,0.8229146999047526,0.5626106845362744,2,14,1,,0,0
1.7681638581254706,17.089345979217555,0.17624867296890792,0.9315903201328514,0.4504576356778573,2,16,1,,0,0
0.0985746775386848,19.81789004443189,0.12426411479322322,0.7186309680168813,NA,2,18,1,,0,0
-0.3688552991307393,16.883275926115356,0.027495733186304085,0.6311344496405263,NA,2,20,1,,0,0
1.0499523342750523,298.14348519542614,0.03814362335479113,0.703179600706526,0.9999999999999999,4,0,1,,0,0
-3.1682043585258635,223.94224287692634,0.035445457580572354,0.7316886577451133,0.655616462483113,4,2,1,,0,0
2.860344027354804,230.667694919724,0.0340757004792083,0.7500768401598618,-0.0680217879797202,4,4,1,,0,0
-1.4310468249826,297.2739302828605,0.03791324626419755,0.7325874122006755,-0.23354333826383677,4,6,1,,0,0
-0.16941045187314988,174.88071719877408,0.04892500955753861,0.7662720862346859,-0.20769310815428185,4,8,1,,0,0
-4.5191891427707915,313.1404782641549,0.06231437411284891,0.725274099367846,-0.10105761347332926,4,10,1,,0,0
-2.3253798733795086,260.7527441778498,0.26082515512410703,0.866971773999899,-0.0876868261359457,4,12,1,,0,0
3.4347193066993054,228.06146821557525,0.3970226193703236,1.0308882920660056,-0.11949494715841463,4,14,1,,0,0
-2.051589412914041,304.64832855509763,0.5890514067381528,0.8601455981688245,-0.07610928374726725,4,16,1,,0,0
-1.394454645536177,177.7726212225517,0.501644019866102,0.8206175115479375,0.013380453205690583,4,18,1,,0,0
3.4657370192290924,286.0132103213972,0.7267555829170199,0.9989298665927149,-0.07952847407108334,4,20,1,,0,0
0.5978272194874751,1182.4369710134868,0.02429509853733747,0.5702425003593518,1,6,0,1,,0,0
-2.6285477758961875,1286.7823499158667,0.030910812333827895,0.607687618363041,0.7787016866997075,6,2,1,,0,0
6.802997978761076,1303.4216429236294,0.029914483644480044,0.613824355897946,0.07827502770319997,6,4,1,,0,0
8.424218434932971,1198.311899217156,0.013613175837610916,0.597787138736477,-0.2444100090449108,6,6,1,,0,0
-16.69520377375488,1290.8470370037255,0.025736658540973928,0.5919364834849702,-0.11138846540588858,6,8,1,,0,0
-2.4264808946318026,949.9521165006265,0.058244886499307286,0.676468070766366,-0.25387875474584665,6,10,1,,0,0
5.300063770319463,1586.5717185639894,0.11738577457563429,0.6589172058474193,-0.20314161866415356,6,12,1,,0,0
4.833542239939937,1416.5660341014454,0.29593815323845374,0.723018373111505,-0.15188740095197154,6,14,1,,0,0
8.738006771595368,1449.766183414352,0.5521989469071884,0.861118201471585,-0.1370580294623737,6,16,1,,0,0
8.27669203809606,1478.838642700674,0.2634390053738217,0.7602986054993922,-0.15376575920578195,6,18,1,,0,0
-3.3907271115763202,1210.4228608125748,0.4419958427169006,0.8036503692349748,-0.05901801692082051,6,20,1,,0,0
-0.041485444060038464,4062.4447991323136,0.016817438940269987,0.546874777403245,1,8,0,1,,0,0
4.675711255382483,4955.749536495464,0.014056411769136277,0.5430827354261138,0.771534236800972,8,2,1,,0,0
9.131293613090529,5953.484409445482,0.014696725086261199,0.547221463341015,0.26383150105121317,8,4,1,,0,0
10.51166690338657,5016.423747458536,0.011982967990250407,0.5554898986493209,-0.0747975169191279,8,6,1,,0,0
