clim.mean,clim.var,pop.var,lt.pop.lam,sub.corr,clim.sd,rho,asp.mag,rep,asp.effects,AtoB,BtoA
-1.1023694777055198e-7,9.318204271904132e-13,2.067641383688652e-21,1.000843896708383,1,0.001,0,0,1,,0,0
1.1444312196941618e-9,1.132833476811439e-12,2.389862297461809e-21,1.000843896705453,1,0.001,0.25,0,1,,0,0
1.5756008764597564e-7,1.0009324616232799e-12,1.4072189321549397e-21,1.0008438967005908,1,0.001,0.5,0,1,,0,0
-4.226957864219087e-8,8.630593610523306e-13,1.2168596626499078e-12,1.000572108863643,-0.9999999999999721,0.001,0,5,1,,0,0
6.116855650708694e-8,7.150021371880129e-13,1.2168753967013834e-12,1.000572107969069,-0.9999999999999646,0.001,0.25,5,1,,0,0
-1.5858049502959015e-7,1.0952062486895932e-12,1.2167645602842832e-12,1.000572101841911,-0.9999999999999639,0.001,0.5,5,1,,0,0
-1.5238453638241265e-7,9.438953080101733e-13,2.5408284709650547e-10,1.000327724882678,-0.9999999999999996,0.001,0,10,1,,0,0
-9.592885588880804e-8,7.651806042628225e-13,2.54072973958312e-10,1.0003277248705786,-0.9999999999999997,0.001,0.25,10,1,,0,0
-3.6949817365959574e-8,6.981352609821618e-13,2.541128851949661e-10,1.000327686746953,-0.9999999999999997,0.001,0.5,10,1,,0,0
-1.295163636318701e-7,1.0984296009133697e-12,1.3609313762066795e-9,0.7624971582576269,-0.9999999999999327,0.001,0,15,1,,0,0
-9.43207065038982e-8,1.0599977008781175e-12,1.360819620030439e-9,0.7624971697200303,-0.9999999999999553,0.001,0.25,15,1,,0,0
-3.8987067813506703e-7,8.652776275238404e-13,1.360811104606139e-9,0.7624972642728255,-0.9999999999999577,0.001,0.5,15,1,,0,0
4.6040879863592626e-8,9.324112323097274e-13,2.4784038848628705e-12,0.5756636033306737,-0.999999999999812,0.001,0,20,1,,0,0
-4.6134132787267716e-8,1.0421840404560194e-12,2.4778547426541122e-12,0.5756636013310451,-0.9999999999998366,0.001,0.25,20,1,,0,0
-1.7414666994568203e-7,1.0437305573712409e-12,2.477765082250668e-12,0.5756636117036251,-0.9999999999997791,0.001,0.5,20,1,,0,0
-0.22381591322047342,678.9372129352145,0.03171926072136554,0.6208223637563721,0.9999999999999998,5,0,0,1,,0,0
1.5941042136007604,651.7246995437033,0.033766335509337275,0.6332248871170071,1,5,0.25,0,1,,0,0
-1.9722763544704278,637.6291033352018,0.036169364977419606,0.6430813922100251,0.9999999999999999,5,0.5,0,1,,0,0
-0.1647260648233022,763.400199884271,0.030260457397823553,0.6197017951584606,0.5530785734650234,5,0,5,1,,0,0
0.5888788449393114,585.2930534840071,0.02933843054183396,0.6702334730553364,0.5090441232942403,5,0.25,5,1,,0,0
-1.3107302065292017,624.5714593691495,0.04100350194010286,0.6732289970140215,0.6267139107668434,5,0.5,5,1,,0,0
-0.929669569110748,667.0371687785873,0.031228562880714995,0.6829672632276742,-0.27746018213847556,5,0,10,1,,0,0
-4.912692650652392,682.8376458872724,0.07974221101817006,0.7283222390144949,-0.34782568254996865,5,0.25,10,1,,0,0
1.4206761085701234,408.27769387114216,0.04857796235556931,0.7645106877655158,-0.4677994017590687,5,0.5,10,1,,0,0
1.3787821728383634,778.8113335164292,0.14739648972105818,0.7743495270884925,-0.41635984140503307,5,0,15,1,,0,0
-0.3161899535263139,521.5436071858818,0.5733781003930734,0.88245710952642,-0.5545916307808378,5,0.25,15,1,,0,0
5.860668647445723,762.2838814771184,0.23890757878256516,0.8043452963697519,-0.43305583656691904,5,0.5,15,1,,0,0
-3.0272463897405766,526.2065261660266,2.2705180122921047,0.9735354596610897,-0.5097179659780005,5,0,20,1,,0,0
-3.3836383699330295,750.1078216081619,0.993594319846788,0.9196268708813551,-0.4083918985157464,5,0.25,20,1,,0,0
-0.6115909950133083,498.1351601511059,0.7890356415520253,1.0019996321637425,-0.4861283603170758,5,0.5,20,1,,0,0
-2.8514605514850677,11898.43599898036,0.016769596186391417,0.5419719126282617,0.9999999999999998,10,0,0,1,,0,0
11.767664348723452,9883.157668287799,0.012041552702854846,0.5288891481012397,1,10,0.25,0,1,,0,0
7.595825037116491,9068.43610211867,0.009720616391437448,0.5240857922488524,1,10,0.5,0,1,,0,0
4.533872208726788,8868.583346504345,0.01755966786286562,0.5458495986472827,0.742962107318657,10,0,5,1,,0,0
3.4564305020005905,10027.071360738115,0.006846368397634598,0.5282927604768708,0.4981731089525575,10,0.25,5,1,,0,0
-19.915567399000242,10042.5547747227,0.005742882430354885,0.5178363890984818,0.6220052308880704,10,0.5,5,1,,0,0
-8.36310166115896,9080.936419165999,0.016089841469432136,0.5427323654167304,0.09061448127209429,10,0,10,1,,0,0
-21.632058429891607,7879.417252374649,0.019655144718632056,0.558344196139297,0.15069479872053002,10,0.25,10,1,,0,0
-11.509486820792237,10534.757416591183,0.010744786593375192,0.5403892911150178,0.1938192285696229,10,0.5,10,1,,0,0
-12.305416543654973,10783.11186755549,0.026657956647200342,0.582538876658562,-0.09540328440940166,10,0,15,1,,0,0
6.59269152343828,12308.380888217156,0.015082425232695469,0.5820098805961365,-0.10618052552734862,10,0.25,15,1,,0,0
15.261578402581002,6775.652498469263,0.06747476812433645,0.6153151536401232,-0.11484402715040168,10,0.5,15,1,,0,0
2.540691962357764,9714.471879612598,0.07295011885074068,0.6646677382669838,-0.15999527401182148,10,0,20,1,,0,0
-2.233337992996508,9486.361335351476,0.0379163838003589,0.6510891515573093,-0.11254213071503726,10,0.25,20,1,,0,0
