asp.mag,asp.effects,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
0,"-2,-1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-2,-1,1,2",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-2,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
1,"-2,-1,1",0,1.4624857032892835,1.4624857032892835,21.6066837310791,1
1,"-2,-1,1,2",0,1.4613936186032963,1.4613936186032963,21.6066837310791,1
1,"-2,1",0,1.4614275166280704,1.4614275166280704,21.6066837310791,1
2,"-2,-1,1",0,1.4482589139546624,1.4482589139546624,23.84185791015625,1
2,"-2,-1,1,2",0,1.4479261439185065,1.4479261439185065,24.586915969848633,1
2,"-2,1",0,1.447987180796854,1.447987180796854,24.586915969848633,1
3,"-2,-1,1",0,1.4232497238032529,1.4232497238032529,27.567148208618164,1
3,"-2,-1,1,2",0,1.4232261766327228,1.4232261766327228,28.312206268310547,1
3,"-2,1",0,1.4232995828837358,1.4232995828837358,28.312206268310547,1
4,"-2,-1,1",0,1.3881113301931842,1.3881113301931842,34.27267074584961,1
4,"-2,-1,1,2",0,1.3881108996696143,1.3881108996696143,34.27267074584961,1
4,"-2,1",0,1.3881812853707598,1.3881812853707598,34.27267074584961,1
5,"-2,-1,1",0,1.3434920175764915,1.3434920175764915,43.2133674621582,1
5,"-2,-1,1,2",0,1.3434920155095809,1.3434920155095809,43.2133674621582,1
5,"-2,1",0,1.343533477554857,1.343533477554857,43.958425521850586,1
6,"-2,-1,1",0,1.2899626450868702,1.2899626450868702,61.09476089477539,1
6,"-2,-1,1,2",0,1.2899626450835886,1.2899626450835886,61.09476089477539,1
6,"-2,1",0,1.289939780034415,1.289939780034415,61.09476089477539,1
7,"-2,-1,1",0,1.228306992030748,1.228306992030748,90.8970832824707,1
7,"-2,-1,1,2",0,1.228306992030744,1.228306992030744,90.8970832824707,1
7,"-2,1",0,1.2281738291908797,1.2281738291908797,92.38719940185547,1
8,"-2,-1,1",0,1.159605187615496,1.159605187615496,149.01161193847656,1
8,"-2,-1,1,2",0,1.159605187615496,1.159605187615496,149.01161193847656,1
8,"-2,1",0,1.1593051061612991,1.1593051061612991,149.01161193847656,1
9,"-2,-1,1",0,1.0853015349964306,1.0853015349964306,259.2802047729492,1
9,"-2,-1,1,2",0,1.0853015349964306,1.0853015349964306,259.2802047729492,1
9,"-2,1",0,1.0847698938441015,1.0847698938441015,262.26043701171875,1
10,"-2,-1,1",0,1.0072611929925923,1.0072611929925923,494.7185516357422,1
10,"-2,-1,1,2",0,1.0072611929925923,1.0072611929925923,494.7185516357422,1
10,"-2,1",0,1.0064336342528102,1.0064336342528102,500.67901611328125,1
11,"-2,-1,1",0,0.9277773279081618,0.9277773279081618,1013.2789611816406,1
11,"-2,-1,1,2",0,0.9277773279081616,0.9277773279081616,1013.2789611816406,1
