asp.mag,asp.effects,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
0,"-0.5,-1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-0.5,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
1,"-0.5,-1,1",0,1.465511535236054,1.465511535236054,20.86162567138672,1
1,"-0.5,1",0,1.4661721270010122,1.4661721270010122,20.86162567138672,1
1,"-1,1",0,1.4638941203311016,1.4638941203311016,20.86162567138672,1
2,"-0.5,-1,1",0,1.45910416469754,1.45910416469754,22.351741790771484,1
2,"-0.5,1",0,1.460943873447503,1.460943873447503,21.6066837310791,1
2,"-1,1",0,1.448610285986866,1.448610285986866,23.096799850463867,1
3,"-0.5,-1,1",0,1.453957171988767,1.453957171988767,23.84185791015625,1
3,"-0.5,1",0,1.45549473148067,1.45549473148067,23.096799850463867,1
3,"-1,1",0,1.42327332938813,1.42327332938813,26.82209014892578,1
4,"-0.5,-1,1",0,1.4469292545322026,1.4469292545322026,25.331974029541016,1
4,"-0.5,1",0,1.447692755822409,1.447692755822409,24.586915969848633,1
4,"-1,1",0,1.3881116811089838,1.3881116811089838,32.03749656677246,1
5,"-0.5,-1,1",0,1.4365966654687714,1.4365966654687714,27.567148208618164,1
5,"-0.5,1",0,1.4368523895542864,1.4368523895542864,26.0770320892334,1
5,"-1,1",0,1.3434919874810085,1.3434919874810085,41.72325134277344,1
6,"-0.5,-1,1",0,1.4230808413797105,1.4230808413797105,29.802322387695312,1
6,"-0.5,1",0,1.4231396229082154,1.4231396229082154,28.312206268310547,1
6,"-1,1",0,1.2899626350268585,1.2899626350268585,58.11452865600586,1
7,"-0.5,-1,1",0,1.406806526115547,1.406806526115547,32.03749656677246,1
7,"-0.5,1",0,1.4068160667443033,1.4068160667443033,30.547380447387695,1
7,"-1,1",0,1.2283066445735935,1.2283066445735935,86.4267349243164,1
8,"-0.5,-1,1",0,1.3880379522232806,1.3880379522232806,35.762786865234375,1
8,"-0.5,1",0,1.3880390588878864,1.3880390588878864,34.27267074584961,1
8,"-1,1",0,1.1596034099399208,1.1596034099399208,140.07091522216797,1
9,"-0.5,-1,1",0,1.366893908629044,1.366893908629044,40.23313522338867,1
9,"-0.5,1",0,1.366894000711348,1.366894000711348,37.99796104431152,1
9,"-1,1",0,1.0852959961777404,1.0852959961777404,244.37904357910156,1
10,"-0.5,-1,1",0,1.343450116752368,1.343450116752368,46.193599700927734,1
10,"-0.5,1",0,1.3434501223235478,1.3434501223235478,43.2133674621582,1
10,"-1,1",0,1.0072481038742649,1.0072481038742649,470.87669372558594,1
11,"-0.5,-1,1",0,1.3177838534655044,1.3177838534655044,53.64418029785156,1
11,"-0.5,1",0,1.317783853720066,1.317783853720066,50.66394805908203,1
11,"-1,1",0,0.9277522411677074,0.9277522411677074,965.5952453613281,1
12,"-0.5,-1,1",0,1.289985355686057,1.289985355686057,64.07499313354492,1
12,"-0.5,1",0,1.289985355695523,1.289985355695523,61.09476089477539,1
12,"-1,1",0,0.8494456890431581,0.8494456890431581,2098.08349609375,1
13,"-0.5,-1,1",0,1.260160977714411,1.260160977714411,77.48603820800781,1
13,"-0.5,1",0,1.2601609777147351,1.2601609777147351,73.01568984985352,1
13,"-1,1",10,0.8071512206105613,0.8356035457203859,1788.1393432617188,1
14,"-0.5,-1,1",0,1.2284352090190325,1.2284352090190325,95.367431640625,1
14,"-0.5,1",0,1.228435209019045,1.228435209019045,90.8970832824707,1
14,"-1,1",11,0.7764569744718026,0.8037412807603442,3290.1763916015625,1
15,"-0.5,-1,1",0,1.194952673347382,1.194952673347382,119.20928955078125,1
15,"-0.5,1",0,1.1949526733473828,1.1949526733473828,113.24882507324219,1
15,"-1,1",13,0.7495952397767909,0.7798441930972707,3099.4415283203125,1
16,"-0.5,-1,1",0,1.1598801728460564,1.1598801728460564,154.97207641601562,1
16,"-0.5,1",0,1.1598801728460564,1.1598801728460564,146.03137969970703,1
16,"-1,1",14,0.7290629613539815,0.769523724442078,3862.3809814453125,1
17,"-0.5,-1,1",0,1.123408665143652,1.123408665143652,202.65579223632812,1
17,"-0.5,1",0,1.123408665143652,1.123408665143652,190.73486328125,1
17,"-1,1",14,0.7163307033694112,0.7408244377773382,7057.18994140625,1
18,"-0.5,-1,1",0,1.0857549505888962,1.0857549505888962,274.1813659667969,1
18,"-0.5,1",0,1.0857549505888962,1.0857549505888962,256.2999725341797,1
18,"-1,1",17,0.6956681001046499,0.7219144802735489,8869.171142578125,1
19,"-0.5,-1,1",0,1.0471627254021068,1.0471627254021068,369.5487976074219,1
19,"-0.5,1",0,1.0471627254021068,1.0471627254021068,351.6674041748047,1
19,"-1,1",16,0.6861595979452275,0.71697226423597,8392.333984375,1
20,"-0.5,-1,1",0,1.0079025648105469,1.0079025648105469,518.5604095458984,1
20,"-0.5,1",0,1.007902564810547,1.007902564810547,488.7580871582031,1
20,"-1,1",17,0.6713094122068325,0.6989696929190172,9155.2734375,1
21,"-0.5,-1,1",0,0.9682704172350094,0.9682704172350094,739.09759521484375,1
21,"-0.5,1",0,0.9682704172350094,0.9682704172350094,703.3348083496094,1
21,"-1,1",20,0.6631087666954388,0.6913014990813656,9346.00830078125,1
22,"-0.5,-1,1",0,0.92858439986023,0.92858439986023,1072.8836059570312,1
22,"-0.5,1",0,0.9285843998602304,0.9285843998602304,1001.3580322265625,1
22,"-1,1",19,0.6534551256829034,0.6959696045645692,19836.42578125,1
23,"-0.5,-1,1",0,0.8891801011944296,0.8891801011944296,1573.5626220703125,1
23,"-0.5,1",0,0.8891801011944322,0.8891801011944322,1478.1951904296875,1
23,"-1,1",21,0.6494832886641476,0.6726268147706563,15640.2587890625,1
24,"-0.5,-1,1",0,0.8504050601748716,0.8504050601748716,2336.5020751953125,1
24,"-0.5,1",0,0.8504050601748921,0.8504050601748921,2193.450927734375,1
24,"-1,1",23,0.6414394717543527,0.6766572987112651,26321.4111328125,1
25,"-0.5,-1,1",10,0.8188252057005955,0.8683895591973919,3910.064697265625,1
25,"-0.5,1",9,0.8201295744331705,0.8856114996395995,3480.9112548828125,1
25,"-1,1",26,0.6348550859269488,0.661907170448547,16403.1982421875,1
26,"-0.5,-1,1",8,0.7982169064254938,0.8553369865412631,4482.269287109375,1
26,"-0.5,1",9,0.7969165934630367,0.8629947027832465,3767.0135498046875,1
26,"-1,1",23,0.6288844548242211,0.6490429209691897,27847.2900390625,1
27,"-0.5,-1,1",10,0.7846351667614564,0.8263725014125403,4339.2181396484375,1
27,"-0.5,1",10,0.7840993124600039,0.809300283426117,4196.1669921875,1
27,"-1,1",23,0.6230094898722163,0.6557020032359484,17166.1376953125,1
28,"-0.5,-1,1",12,0.7663903015286745,0.8023965006525617,4720.6878662109375,1
28,"-0.5,1",8,0.7659975254653922,0.8288013048804916,4625.3204345703125,1
28,"-1,1",26,0.618122409196949,0.6371674125543202,30517.578125,1
29,"-0.5,-1,1",11,0.7521179582732456,0.7868705750999113,5054.473876953125,1
29,"-0.5,1",10,0.7516695663253581,0.8132328117261769,6437.3016357421875,1
29,"-1,1",24,0.6103980054994924,0.6367056250043062,35095.21484375,1
30,"-0.5,-1,1",11,0.7483258427972456,0.79406090081506,4720.6878662109375,1
30,"-0.5,1",11,0.7452029047450853,0.7709795700801806,5340.576171875,1
30,"-1,1",29,0.6063637649892305,0.6239121765916419,46539.306640625,1
0,"-0.5,-1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,2
0,"-0.5,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,2
0,"-1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,2
1,"-0.5,-1,1",0,1.465511535236054,1.465511535236054,20.86162567138672,2
1,"-0.5,1",0,1.4661721270010122,1.4661721270010122,20.86162567138672,2
1,"-1,1",0,1.4638941203311016,1.4638941203311016,20.86162567138672,2
2,"-0.5,-1,1",0,1.45910416469754,1.45910416469754,22.351741790771484,2
2,"-0.5,1",0,1.460943873447503,1.460943873447503,21.6066837310791,2
2,"-1,1",0,1.448610285986866,1.448610285986866,23.096799850463867,2
3,"-0.5,-1,1",0,1.453957171988767,1.453957171988767,23.84185791015625,2
3,"-0.5,1",0,1.45549473148067,1.45549473148067,23.096799850463867,2
