asp.effects,clim.sd,asp.mag,lt.lam,rep
"-2,1",0,0,1.4690016331329863,1
"-2,1",1,0,1.4637081787449762,1
"-2,1",2,0,1.4514621217305042,1
"-2,1",3,0,1.4202730132779735,1
"-2,1",4,0,1.3839335987440569,1
"-2,1",5,0,1.3470863444307517,1
"-2,1",6,0,1.2695359936383335,1
"-2,1",7,0,1.2439055043709537,1
"-2,1",8,0,1.2124964209658708,1
"-2,1",9,0,1.109805012354657,1
"-2,1",10,0,1.0824629100096868,1
"-2,1",11,0,1.0256934740471586,1
"-2,1",12,0,0.9910022190322132,1
"-2,1",13,0,0.9517918693289747,1
"-2,1",14,0,0.892125230652469,1
"-2,1",15,0,0.9169972129764505,1
"-2,1",16,0,0.9207694624268448,1
"-2,1",17,0,0.8263575370327859,1
"-2,1",18,0,0.7944807711541476,1
"-2,1",19,0,0.7866701353646011,1
"-2,1",20,0,0.7977664041484503,1
"-2,1",21,0,0.7698226220635014,1
"-2,1",22,0,0.7757824534886276,1
"-2,1",23,0,0.6906155999183646,1
"-2,1",24,0,0.7107417838946357,1
"-2,1",25,0,0.6944242849187486,1
"-2,1",26,0,0.7173855420443775,1
"-2,1",27,0,0.6890886341359878,1
"-2,1",28,0,0.6845112081018333,1
"-2,1",29,0,0.6769035904152337,1
"-2,1",30,0,0.6595418567875546,1
"-2,1",0,1,1.4614275166280704,1
"-2,1",1,1,1.4564567667279664,1
"-2,1",2,1,1.4337594686207034,1
"-2,1",3,1,1.4205235653991712,1
"-2,1",4,1,1.3797704650041072,1
"-2,1",5,1,1.3312448901633636,1
"-2,1",6,1,1.3078916420757356,1
"-2,1",7,1,1.2227341061599792,1
"-2,1",8,1,1.1491177979729035,1
"-2,1",9,1,1.1797280777512258,1
"-2,1",10,1,1.0397082322356888,1
"-2,1",11,1,0.9911992139796933,1
"-2,1",12,1,0.9877525962260034,1
"-2,1",13,1,0.9254566999027278,1
"-2,1",14,1,0.9553271250679806,1
"-2,1",15,1,0.837094687156026,1
"-2,1",16,1,0.9027685430608685,1
"-2,1",17,1,0.8473459491831468,1
"-2,1",18,1,0.8043690442121061,1
"-2,1",19,1,0.7826265140604971,1
"-2,1",20,1,0.7947840091204554,1
"-2,1",21,1,0.7753097037634021,1
"-2,1",22,1,0.7949155596895995,1
"-2,1",23,1,0.7686404442148707,1
"-2,1",24,1,0.7169432086661571,1
"-2,1",25,1,0.7032102092537575,1
"-2,1",26,1,0.7234095855199905,1
"-2,1",27,1,0.709897350731332,1
"-2,1",28,1,0.6833131089241216,1
"-2,1",29,1,0.6925360539458137,1
"-2,1",30,1,0.6632924306087894,1
"-2,1",0,2,1.447987180796854,1
"-2,1",1,2,1.4449133308247204,1
"-2,1",2,2,1.4276350320106923,1
"-2,1",3,2,1.3960265523447373,1
"-2,1",4,2,1.3708459712155223,1
"-2,1",5,2,1.3247002208984893,1
"-2,1",6,2,1.263214851653207,1
"-2,1",7,2,1.195283318055434,1
"-2,1",8,2,1.1714557618657553,1
"-2,1",9,2,1.1056874666693233,1
"-2,1",10,2,1.0109996158322025,1
"-2,1",11,2,1.006511010800337,1
"-2,1",12,2,0.9771395004220885,1
"-2,1",13,2,0.9061045629758935,1
"-2,1",14,2,0.9319884208192789,1
"-2,1",15,2,0.8774519817815484,1
"-2,1",16,2,0.8491306212082411,1
"-2,1",17,2,0.8283198529207553,1
"-2,1",18,2,0.8138424673590805,1
"-2,1",19,2,0.7762914213511319,1
"-2,1",20,2,0.8047635842690667,1
"-2,1",21,2,0.7764222391148549,1
"-2,1",22,2,0.7249505606767405,1
"-2,1",23,2,0.7572055106366242,1
"-2,1",24,2,0.7474418445146596,1
"-2,1",25,2,0.6841376079229657,1
"-2,1",26,2,0.7074285919548903,1
"-2,1",27,2,0.7198137730054034,1
"-2,1",28,2,0.6715971013172192,1
"-2,1",29,2,0.6806216846519904,1
"-2,1",30,2,0.7015083172103737,1
"-2,1",0,3,1.4232995828837358,1
"-2,1",1,3,1.4154782974896227,1
"-2,1",2,3,1.4050208416406746,1
"-2,1",3,3,1.3906341670852225,1
"-2,1",4,3,1.3319980255722825,1
"-2,1",5,3,1.319185492619114,1
"-2,1",6,3,1.2571961444255004,1
"-2,1",7,3,1.2007301643333386,1
"-2,1",8,3,1.1422636980915895,1
"-2,1",9,3,1.1220488872464542,1
"-2,1",10,3,0.9977723732679095,1
"-2,1",11,3,1.0287647843567465,1
"-2,1",12,3,0.9699254343342439,1
"-2,1",13,3,0.9351382407048693,1
"-2,1",14,3,0.8903825126317836,1
"-2,1",15,3,0.9222654179541725,1
"-2,1",16,3,0.8916674654662329,1
"-2,1",17,3,0.8645136520779199,1
"-2,1",18,3,0.7953138040634301,1
"-2,1",19,3,0.7959974327818622,1
"-2,1",20,3,0.7210917387904822,1
"-2,1",21,3,0.7149517602780323,1
"-2,1",22,3,0.7452192843181572,1
"-2,1",23,3,0.7201429901856279,1
"-2,1",24,3,0.7331017962923808,1
"-2,1",25,3,0.7025550851225607,1
"-2,1",26,3,0.7022750645886199,1
"-2,1",27,3,0.675014502830063,1
"-2,1",28,3,0.7056667409534568,1
"-2,1",29,3,0.6626707401393219,1
"-2,1",30,3,0.6897126472156995,1
"-2,1",0,4,1.3881812853707598,1
"-2,1",1,4,1.3837726347290977,1
"-2,1",2,4,1.3672017097590192,1
"-2,1",3,4,1.3382936226557336,1
"-2,1",4,4,1.321302651229019,1
"-2,1",5,4,1.2472929308332017,1
"-2,1",6,4,1.2018253165196264,1
"-2,1",7,4,1.1571794619386198,1
"-2,1",8,4,1.1355686382330394,1
"-2,1",9,4,1.0390029926755249,1
"-2,1",10,4,1.012217647475876,1
"-2,1",11,4,0.9985997066623776,1
"-2,1",12,4,0.9803580348490333,1
"-2,1",13,4,0.924885228492788,1
"-2,1",14,4,0.8891377652939891,1
"-2,1",15,4,0.8623422904187265,1
"-2,1",16,4,0.8298392739487725,1
"-2,1",17,4,0.8017548635187778,1
"-2,1",18,4,0.7760785329746019,1
"-2,1",19,4,0.7536560352244023,1
"-2,1",20,4,0.7566230374165133,1
"-2,1",21,4,0.7599221898054647,1
"-2,1",22,4,0.7205973180055343,1
"-2,1",23,4,0.7363635378331964,1
"-2,1",24,4,0.7297200791450814,1
"-2,1",25,4,0.7053890907011942,1
"-2,1",26,4,0.6827063832623903,1
"-2,1",27,4,0.7108156545820598,1
"-2,1",28,4,0.6674044600605126,1
"-2,1",29,4,0.7037697029527011,1
"-2,1",30,4,0.6587955845059622,1
"-2,1",0,5,1.343533477554857,1
"-2,1",1,5,1.3396427668266482,1
"-2,1",2,5,1.3222606019273975,1
"-2,1",3,5,1.2899094855025495,1
"-2,1",4,5,1.2724612406480078,1
"-2,1",5,5,1.2290359710978709,1
"-2,1",6,5,1.2008687192796164,1
"-2,1",7,5,1.1668675757918279,1
"-2,1",8,5,1.1224372326526582,1
"-2,1",9,5,1.0635495627996112,1
"-2,1",10,5,1.0616227700357301,1
"-2,1",11,5,0.9772770319251376,1
"-2,1",12,5,0.9977628770912611,1
"-2,1",13,5,0.9439480536544967,1
"-2,1",14,5,0.8794976691708054,1
"-2,1",15,5,0.8458017099898518,1
"-2,1",16,5,0.8478583716861525,1
"-2,1",17,5,0.831715718413312,1
"-2,1",18,5,0.8217869883015713,1
"-2,1",19,5,0.7952390957532229,1
"-2,1",20,5,0.7977309747915655,1
"-2,1",21,5,0.7672755717946041,1
"-2,1",22,5,0.7171981601884602,1
"-2,1",23,5,0.7130686382812434,1
"-2,1",24,5,0.7265230583576657,1
"-2,1",25,5,0.6717977251831758,1
"-2,1",26,5,0.7004900620459189,1
"-2,1",27,5,0.6936217953121513,1
"-2,1",28,5,0.669425263243658,1
"-2,1",29,5,0.6840543098839681,1
"-2,1",30,5,0.6894916415277599,1
"-2,1",0,6,1.289939780034415,1
"-2,1",1,6,1.2816182219575467,1
"-2,1",2,6,1.2630015606020288,1
"-2,1",3,6,1.2663256093573243,1
"-2,1",4,6,1.196743179478099,1
"-2,1",5,6,1.1818130314833006,1
"-2,1",6,6,1.158954589414082,1
"-2,1",7,6,1.077161629365461,1
"-2,1",8,6,1.0774279093541363,1
"-2,1",9,6,1.0254788443996683,1
"-2,1",10,6,0.9830461145681221,1
"-2,1",11,6,0.9364981897102153,1
"-2,1",12,6,0.9258529630089474,1
"-2,1",13,6,0.9345226825705327,1
"-2,1",14,6,0.8834732764323819,1
"-2,1",15,6,0.8376144385068212,1
"-2,1",16,6,0.8378303910690875,1
"-2,1",17,6,0.833404645059534,1
"-2,1",18,6,0.7930830297480186,1
"-2,1",19,6,0.7548549728708215,1
"-2,1",20,6,0.7438588935043857,1
"-2,1",21,6,0.7221182043841486,1
"-2,1",22,6,0.7280801125991494,1
"-2,1",23,6,0.731885174628961,1
"-2,1",24,6,0.7107358805991709,1
