asp.effects,clim.sd,asp.mag,lt.lam,rep
"-1,1",0,0,1.4690016331329863,1
"-1,1",1,0,1.4643916539850432,1
"-1,1",2,0,1.4494693375628953,1
"-1,1",3,0,1.4236411903464263,1
"-1,1",4,0,1.3865071343424393,1
"-1,1",5,0,1.3465313799247265,1
"-1,1",6,0,1.3142258888883047,1
"-1,1",7,0,1.2396517153703381,1
"-1,1",8,0,1.138579217163979,1
"-1,1",9,0,1.079456994933876,1
"-1,1",10,0,1.089907727133896,1
"-1,1",11,0,1.0206809669638324,1
"-1,1",12,0,1.0076314778432227,1
"-1,1",13,0,0.9572491063788456,1
"-1,1",14,0,0.9120430500785385,1
"-1,1",15,0,0.9115219731866689,1
"-1,1",16,0,0.8820673604890706,1
"-1,1",17,0,0.8591084732433348,1
"-1,1",18,0,0.7849129301736605,1
"-1,1",19,0,0.8530456724911027,1
"-1,1",20,0,0.7467306528635592,1
"-1,1",21,0,0.7609908927300385,1
"-1,1",22,0,0.7942294726518393,1
"-1,1",23,0,0.7064588191891896,1
"-1,1",24,0,0.7568217329296463,1
"-1,1",25,0,0.7220949249520323,1
"-1,1",26,0,0.7351672771081543,1
"-1,1",27,0,0.6775636090457887,1
"-1,1",28,0,0.7096627585766887,1
"-1,1",29,0,0.6610938332318181,1
"-1,1",30,0,0.6676347988835688,1
"-1,1",0,1,1.4638941203311016,1
"-1,1",1,1,1.4594420485001103,1
"-1,1",2,1,1.4438862965243309,1
"-1,1",3,1,1.4130058848050722,1
"-1,1",4,1,1.372434365327507,1
"-1,1",5,1,1.3178331066497009,1
"-1,1",6,1,1.3059690952645964,1
"-1,1",7,1,1.2623480048016222,1
"-1,1",8,1,1.18913636466048,1
"-1,1",9,1,1.116786641214977,1
"-1,1",10,1,1.074162281742909,1
"-1,1",11,1,0.9937010433242701,1
"-1,1",12,1,0.9584127295102938,1
"-1,1",13,1,0.9511367599275112,1
"-1,1",14,1,0.9406729434072678,1
"-1,1",15,1,0.9146209692115762,1
"-1,1",16,1,0.868419004628159,1
"-1,1",17,1,0.8925255886656147,1
"-1,1",18,1,0.8339859132298413,1
"-1,1",19,1,0.8065107838494002,1
"-1,1",20,1,0.7502068968591213,1
"-1,1",21,1,0.8040141287373453,1
"-1,1",22,1,0.7273638300780341,1
"-1,1",23,1,0.744994118861197,1
"-1,1",24,1,0.6953862400497001,1
"-1,1",25,1,0.7295306335022425,1
"-1,1",26,1,0.7187776445385626,1
"-1,1",27,1,0.6533622380667145,1
"-1,1",28,1,0.6955201487252841,1
"-1,1",29,1,0.6804553467282702,1
"-1,1",30,1,0.6725120277840229,1
"-1,1",0,2,1.448610285986866,1
"-1,1",1,2,1.4438515921206594,1
"-1,1",2,2,1.4263955970199664,1
"-1,1",3,2,1.399732550420009,1
"-1,1",4,2,1.358983120525697,1
"-1,1",5,2,1.317127556783046,1
"-1,1",6,2,1.2635206466339777,1
"-1,1",7,2,1.2162867013188376,1
"-1,1",8,2,1.1540968233054496,1
"-1,1",9,2,1.105538101086829,1
"-1,1",10,2,1.0662131213516048,1
"-1,1",11,2,1.036789708482397,1
"-1,1",12,2,0.9900580409885799,1
"-1,1",13,2,0.9307493660630973,1
"-1,1",14,2,0.8681765764916647,1
"-1,1",15,2,0.8916795228632963,1
"-1,1",16,2,0.8575061282004528,1
"-1,1",17,2,0.816575019862375,1
"-1,1",18,2,0.7485988929885902,1
"-1,1",19,2,0.8045706302726598,1
"-1,1",20,2,0.8228294407543243,1
"-1,1",21,2,0.7778287247540299,1
"-1,1",22,2,0.7253525357014458,1
"-1,1",23,2,0.7708833603108705,1
"-1,1",24,2,0.7229336481633324,1
"-1,1",25,2,0.7085609766931245,1
"-1,1",26,2,0.7416755673344402,1
"-1,1",27,2,0.6800819316051757,1
"-1,1",28,2,0.6615622365939263,1
"-1,1",29,2,0.6693428850136859,1
"-1,1",30,2,0.677857653633295,1
"-1,1",0,3,1.4232733293881301,1
"-1,1",1,3,1.4187039101144567,1
"-1,1",2,3,1.403703722408748,1
"-1,1",3,3,1.3734526834393441,1
"-1,1",4,3,1.3361272253416456,1
"-1,1",5,3,1.3001936158305556,1
"-1,1",6,3,1.2524944927573816,1
"-1,1",7,3,1.1757433328956808,1
"-1,1",8,3,1.1618104889811456,1
"-1,1",9,3,1.1020502313173606,1
"-1,1",10,3,1.050278480033695,1
"-1,1",11,3,1.0223998396572966,1
"-1,1",12,3,1.0116482582044495,1
"-1,1",13,3,0.9267841917199071,1
"-1,1",14,3,0.8990245790113615,1
"-1,1",15,3,0.8569565680680779,1
"-1,1",16,3,0.8896240444438444,1
"-1,1",17,3,0.8066213510890234,1
"-1,1",18,3,0.837788832952423,1
"-1,1",19,3,0.8312755432268444,1
"-1,1",20,3,0.8060222933038146,1
"-1,1",21,3,0.739371643617399,1
"-1,1",22,3,0.7496359662157036,1
"-1,1",23,3,0.7461943587621607,1
"-1,1",24,3,0.7118056531472502,1
"-1,1",25,3,0.7265449992870967,1
"-1,1",26,3,0.7234551200245785,1
"-1,1",27,3,0.6752944123434973,1
"-1,1",28,3,0.6772316179439329,1
"-1,1",29,3,0.6691236397991515,1
"-1,1",30,3,0.7484595655931608,1
"-1,1",0,4,1.3881116811089838,1
"-1,1",1,4,1.383791564369648,1
"-1,1",2,4,1.3726148755578944,1
"-1,1",3,4,1.3432086680323245,1
"-1,1",4,4,1.321797651508668,1
"-1,1",5,4,1.2708042538968685,1
"-1,1",6,4,1.2165826895718705,1
"-1,1",7,4,1.18071230899836,1
"-1,1",8,4,1.1293560451948472,1
"-1,1",9,4,1.0495246957104094,1
"-1,1",10,4,1.024484244258015,1
"-1,1",11,4,1.008108759170812,1
"-1,1",12,4,0.9781467521965498,1
"-1,1",13,4,0.963113493268849,1
"-1,1",14,4,0.9487018595406821,1
"-1,1",15,4,0.8900456961327355,1
"-1,1",16,4,0.8659287969062449,1
"-1,1",17,4,0.8500158662661226,1
"-1,1",18,4,0.7895218124253501,1
"-1,1",19,4,0.8020398633306526,1
"-1,1",20,4,0.778168288971523,1
"-1,1",21,4,0.7383365871943323,1
