asp.mag,asp.effects,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
0,"-1.5,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
1,"-1.5,1",0,1.4618512875936605,1.4618512875936605,21.6066837310791,1
2,"-1.5,1",0,1.446659745675354,1.446659745675354,23.84185791015625,1
3,"-1.5,1",0,1.4226034890581554,1.4226034890581554,28.312206268310547,1
4,"-1.5,1",0,1.3880281389494795,1.3880281389494795,34.27267074584961,1
5,"-1.5,1",0,1.3435156318078072,1.3435156318078072,43.958425521850586,1
6,"-1.5,1",0,1.289938612240835,1.289938612240835,61.09476089477539,1
7,"-1.5,1",0,1.2281737838576847,1.2281737838576847,92.38719940185547,1
8,"-1.5,1",0,1.1593051049240672,1.1593051049240672,149.01161193847656,1
9,"-1.5,1",0,1.084769893809406,1.084769893809406,262.26043701171875,1
10,"-1.5,1",0,1.0064336342508728,1.0064336342508728,500.67901611328125,1
11,"-1.5,1",0,0.9266079148936788,0.9266079148936788,1025.1998901367188,1
12,"-1.5,1",0,0.8479769511081571,0.8479769511081571,2241.1346435546875,1
13,"-1.5,1",8,0.7984019823759227,0.8228414002529493,2765.655517578125,1
14,"-1.5,1",11,0.7634242720874097,0.7888885815644369,4863.739013671875,1
15,"-1.5,1",14,0.7390402442182736,0.7831771023756955,7915.496826171875,1
16,"-1.5,1",15,0.7225272823348936,0.7605176517550184,10871.88720703125,1
17,"-1.5,1",14,0.7066541658478123,0.7298128460841821,5626.678466796875,1
18,"-1.5,1",18,0.6883675218455316,0.7168328664490929,14114.3798828125,1
19,"-1.5,1",17,0.6796424403953044,0.7150016467446426,13351.4404296875,1
20,"-1.5,1",18,0.6657801014184855,0.6865559333930775,14877.3193359375,1
21,"-1.5,1",21,0.6592887992597328,0.6978033288951662,18692.0166015625,1
22,"-1.5,1",19,0.645811976589663,0.6711768052075419,22125.244140625,1
23,"-1.5,1",21,0.6432259793087789,0.6646267348114462,41961.669921875,1
24,"-1.5,1",18,0.633852777369587,0.6587461894679241,39672.8515625,1
25,"-1.5,1",27,0.6268460093084799,0.6536283934954165,44631.9580078125,1
26,"-1.5,1",23,0.6227222107623736,0.6406776231197315,33569.3359375,1
27,"-1.5,1",24,0.6186297049556186,0.6464015528196957,51116.943359375,1
28,"-1.5,1",26,0.6183360184870181,0.6465425272847928,54931.640625,1
29,"-1.5,1",28,0.6090459884516236,0.6499536026521625,49209.5947265625,1
30,"-1.5,1",28,0.6011889395199508,0.6234486690150027,56457.51953125,1
0,"-1.5,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,2
1,"-1.5,1",0,1.4618512875936605,1.4618512875936605,21.6066837310791,2
2,"-1.5,1",0,1.446659745675354,1.446659745675354,23.84185791015625,2
3,"-1.5,1",0,1.4226034890581554,1.4226034890581554,28.312206268310547,2
4,"-1.5,1",0,1.3880281389494795,1.3880281389494795,34.27267074584961,2
5,"-1.5,1",0,1.3435156318078072,1.3435156318078072,43.958425521850586,2
6,"-1.5,1",0,1.289938612240835,1.289938612240835,61.09476089477539,2
7,"-1.5,1",0,1.2281737838576847,1.2281737838576847,92.38719940185547,2
8,"-1.5,1",0,1.1593051049240672,1.1593051049240672,149.01161193847656,2
9,"-1.5,1",0,1.084769893809406,1.084769893809406,262.26043701171875,2
10,"-1.5,1",0,1.0064336342508728,1.0064336342508728,500.67901611328125,2
11,"-1.5,1",0,0.9266079148936788,0.9266079148936788,1025.1998901367188,2
12,"-1.5,1",0,0.8479769511081571,0.8479769511081571,2241.1346435546875,2
13,"-1.5,1",8,0.7984019823759227,0.8228414002529493,2884.8648071289062,2
14,"-1.5,1",11,0.7634242720874097,0.7888885815644369,4768.37158203125,2
15,"-1.5,1",14,0.7390402442182736,0.7831771023756955,4291.534423828125,2
16,"-1.5,1",15,0.7225272823348936,0.7605176517550184,8964.53857421875,2
17,"-1.5,1",14,0.7066541658478123,0.7298128460841821,6198.883056640625,2
18,"-1.5,1",18,0.6883675218455316,0.7168328664490929,12016.29638671875,2
19,"-1.5,1",17,0.6796424403953044,0.7150016467446426,14686.58447265625,2
20,"-1.5,1",18,0.6657801014184855,0.6865559333930775,19073.486328125,2
21,"-1.5,1",21,0.6592887992597328,0.6978033288951662,28610.2294921875,2
22,"-1.5,1",19,0.645811976589663,0.6711768052075419,20599.365234375,2
23,"-1.5,1",21,0.6432259793087789,0.6646267348114462,31852.72216796875,2
24,"-1.5,1",18,0.633852777369587,0.6587461894679241,35476.6845703125,2
25,"-1.5,1",27,0.6268460093084799,0.6536283934954165,39291.3818359375,2
26,"-1.5,1",23,0.6227222107623736,0.6406776231197315,57220.458984375,2
27,"-1.5,1",24,0.6186297049556186,0.6464015528196957,63705.4443359375,2
28,"-1.5,1",26,0.6183360184870181,0.6465425272847928,48828.125,2
29,"-1.5,1",28,0.6090459884516236,0.6499536026521625,54931.640625,2
30,"-1.5,1",28,0.6011889395199508,0.6234486690150027,102233.88671875,2
0,"-1.5,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,3
1,"-1.5,1",0,1.4618512875936605,1.4618512875936605,21.6066837310791,3
2,"-1.5,1",0,1.446659745675354,1.446659745675354,23.84185791015625,3
3,"-1.5,1",0,1.4226034890581554,1.4226034890581554,28.312206268310547,3
4,"-1.5,1",0,1.3880281389494795,1.3880281389494795,34.27267074584961,3
5,"-1.5,1",0,1.3435156318078072,1.3435156318078072,43.958425521850586,3
6,"-1.5,1",0,1.289938612240835,1.289938612240835,61.09476089477539,3
7,"-1.5,1",0,1.2281737838576847,1.2281737838576847,92.38719940185547,3
8,"-1.5,1",0,1.1593051049240672,1.1593051049240672,149.01161193847656,3
9,"-1.5,1",0,1.084769893809406,1.084769893809406,262.26043701171875,3
10,"-1.5,1",0,1.0064336342508728,1.0064336342508728,500.67901611328125,3
11,"-1.5,1",0,0.9266079148936788,0.9266079148936788,1025.1998901367188,3
12,"-1.5,1",0,0.8479769511081571,0.8479769511081571,2241.1346435546875,3
13,"-1.5,1",8,0.7984019823759227,0.8228414002529493,3266.3345336914062,3
14,"-1.5,1",11,0.7634242720874097,0.7888885815644369,4148.4832763671875,3
15,"-1.5,1",14,0.7390402442182736,0.7831771023756955,5865.0970458984375,3
16,"-1.5,1",15,0.7225272823348936,0.7605176517550184,5912.78076171875,3
17,"-1.5,1",14,0.7066541658478123,0.7298128460841821,7534.027099609375,3
18,"-1.5,1",18,0.6883675218455316,0.7168328664490929,10108.94775390625,3
19,"-1.5,1",17,0.6796424403953044,0.7150016467446426,10871.88720703125,3
20,"-1.5,1",18,0.6657801014184855,0.6865559333930775,16975.40283203125,3
21,"-1.5,1",21,0.6592887992597328,0.6978033288951662,20408.63037109375,3
22,"-1.5,1",19,0.645811976589663,0.6711768052075419,20980.8349609375,3
23,"-1.5,1",21,0.6432259793087789,0.6646267348114462,30136.1083984375,3
24,"-1.5,1",18,0.633852777369587,0.6587461894679241,15068.05419921875,3
25,"-1.5,1",27,0.6268460093084799,0.6536283934954165,36239.6240234375,3
26,"-1.5,1",23,0.6227222107623736,0.6406776231197315,48828.125,3
27,"-1.5,1",24,0.6186297049556186,0.6464015528196957,43869.0185546875,3
28,"-1.5,1",26,0.6183360184870181,0.6465425272847928,46920.7763671875,3
29,"-1.5,1",28,0.6090459884516236,0.6499536026521625,49209.5947265625,3
30,"-1.5,1",28,0.6011889395199508,0.6234486690150027,74005.126953125,3
0,"-1.5,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,4
1,"-1.5,1",0,1.4618512875936605,1.4618512875936605,21.6066837310791,4
2,"-1.5,1",0,1.446659745675354,1.446659745675354,23.84185791015625,4
3,"-1.5,1",0,1.4226034890581554,1.4226034890581554,28.312206268310547,4
4,"-1.5,1",0,1.3880281389494795,1.3880281389494795,34.27267074584961,4
5,"-1.5,1",0,1.3435156318078072,1.3435156318078072,43.958425521850586,4
6,"-1.5,1",0,1.289938612240835,1.289938612240835,61.09476089477539,4
7,"-1.5,1",0,1.2281737838576847,1.2281737838576847,92.38719940185547,4
8,"-1.5,1",0,1.1593051049240672,1.1593051049240672,149.01161193847656,4
9,"-1.5,1",0,1.084769893809406,1.084769893809406,262.26043701171875,4
10,"-1.5,1",0,1.0064336342508728,1.0064336342508728,500.67901611328125,4
11,"-1.5,1",0,0.9266079148936788,0.9266079148936788,1025.1998901367188,4
