asp.effects,clim.sd,asp.mag,lt.lam,rep
"-1.5,1",0,0,1.4690016331329863,1
"-1.5,1",1,0,1.4629007048193452,1
"-1.5,1",2,0,1.4492552478317877,1
"-1.5,1",3,0,1.420409416598359,1
"-1.5,1",4,0,1.3811839761449427,1
"-1.5,1",5,0,1.3587088655921071,1
"-1.5,1",6,0,1.2922866571463307,1
"-1.5,1",7,0,1.243734608852139,1
"-1.5,1",8,0,1.1406508397972375,1
"-1.5,1",9,0,1.143180369698349,1
"-1.5,1",10,0,1.0671823530412192,1
"-1.5,1",11,0,1.061215843655914,1
"-1.5,1",12,0,0.9999132345390466,1
"-1.5,1",13,0,0.9423201529544518,1
"-1.5,1",14,0,0.9055228754321815,1
"-1.5,1",15,0,0.9157539924083342,1
"-1.5,1",16,0,0.8847041672299912,1
"-1.5,1",17,0,0.8345765107834978,1
"-1.5,1",18,0,0.8411990494357475,1
"-1.5,1",19,0,0.7899039029811966,1
"-1.5,1",20,0,0.8001430400946388,1
"-1.5,1",21,0,0.7620464057797263,1
"-1.5,1",22,0,0.7189965381013226,1
"-1.5,1",23,0,0.7352282639829804,1
"-1.5,1",24,0,0.6983930129680217,1
"-1.5,1",25,0,0.730887478399351,1
"-1.5,1",26,0,0.6853367452123368,1
"-1.5,1",27,0,0.6947336992698044,1
"-1.5,1",28,0,0.6664652385934363,1
"-1.5,1",29,0,0.6649592230392073,1
"-1.5,1",30,0,0.6754877064472385,1
"-1.5,1",0,1,1.4618512875936605,1
"-1.5,1",1,1,1.4577561118325253,1
"-1.5,1",2,1,1.4431511484394153,1
"-1.5,1",3,1,1.4183285422910654,1
"-1.5,1",4,1,1.3823278057660158,1
"-1.5,1",5,1,1.331329584105431,1
"-1.5,1",6,1,1.2948690023860145,1
"-1.5,1",7,1,1.247634515495072,1
"-1.5,1",8,1,1.1778159967564126,1
"-1.5,1",9,1,1.142529337090552,1
"-1.5,1",10,1,1.0491716499288024,1
"-1.5,1",11,1,1.0169787342313032,1
"-1.5,1",12,1,1.0135493775395183,1
"-1.5,1",13,1,0.9469010195592469,1
"-1.5,1",14,1,0.9063932852855132,1
"-1.5,1",15,1,0.8958950914530166,1
"-1.5,1",16,1,0.8861140190883048,1
"-1.5,1",17,1,0.8390934207883729,1
"-1.5,1",18,1,0.8234934971807469,1
"-1.5,1",19,1,0.8094713423753662,1
"-1.5,1",20,1,0.8048325027783526,1
"-1.5,1",21,1,0.8001475793061589,1
"-1.5,1",22,1,0.7448598119607902,1
"-1.5,1",23,1,0.789299641314881,1
"-1.5,1",24,1,0.7191269385430621,1
"-1.5,1",25,1,0.7252486138247731,1
"-1.5,1",26,1,0.6888786928347501,1
"-1.5,1",27,1,0.7000079073582797,1
"-1.5,1",28,1,0.6844532675216809,1
"-1.5,1",29,1,0.6585283355463574,1
"-1.5,1",30,1,0.6633368137437751,1
"-1.5,1",0,2,1.446659745675354,1
"-1.5,1",1,2,1.4392550827873714,1
"-1.5,1",2,2,1.4271952152883705,1
"-1.5,1",3,2,1.4034104599948363,1
"-1.5,1",4,2,1.3732138010788009,1
"-1.5,1",5,2,1.313011124387631,1
"-1.5,1",6,2,1.279003352473108,1
"-1.5,1",7,2,1.1981544939599365,1
"-1.5,1",8,2,1.1743841474801349,1
"-1.5,1",9,2,1.1111710773064114,1
"-1.5,1",10,2,1.0712572672376344,1
"-1.5,1",11,2,1.0576945073903423,1
"-1.5,1",12,2,1.0048619071119063,1
"-1.5,1",13,2,0.9627837798406272,1
"-1.5,1",14,2,0.9046231308382974,1
"-1.5,1",15,2,0.8433757340215841,1
"-1.5,1",16,2,0.8689319596592904,1
"-1.5,1",17,2,0.822448409785871,1
"-1.5,1",18,2,0.834203068860312,1
"-1.5,1",19,2,0.7969492373645434,1
"-1.5,1",20,2,0.7940847608752062,1
"-1.5,1",21,2,0.7544424685414766,1
"-1.5,1",22,2,0.7229633964078174,1
"-1.5,1",23,2,0.7452598081686578,1
"-1.5,1",24,2,0.7176783107595861,1
"-1.5,1",25,2,0.7382137098398228,1
"-1.5,1",26,2,0.6845899424129618,1
"-1.5,1",27,2,0.6996551353620035,1
"-1.5,1",28,2,0.6886801126462618,1
"-1.5,1",29,2,0.682429752454353,1
"-1.5,1",30,2,0.6586271488619974,1
"-1.5,1",0,3,1.4226034890581554,1
"-1.5,1",1,3,1.416659846772658,1
"-1.5,1",2,3,1.4006753639749456,1
"-1.5,1",3,3,1.3799309580413643,1
"-1.5,1",4,3,1.3433950892951187,1
"-1.5,1",5,3,1.3282180811502324,1
"-1.5,1",6,3,1.2546293209256216,1
"-1.5,1",7,3,1.2456724712376697,1
"-1.5,1",8,3,1.1593988446609778,1
"-1.5,1",9,3,1.128110474151528,1
"-1.5,1",10,3,1.0256472366258935,1
"-1.5,1",11,3,1.023796030690154,1
"-1.5,1",12,3,1.0052077885584187,1
"-1.5,1",13,3,0.9060965481036293,1
"-1.5,1",14,3,0.8899079773819482,1
"-1.5,1",15,3,0.8727643215259,1
"-1.5,1",16,3,0.828458220699686,1
"-1.5,1",17,3,0.8020748182951553,1
"-1.5,1",18,3,0.8333815382241674,1
"-1.5,1",19,3,0.828498225546647,1
"-1.5,1",20,3,0.7780425341751104,1
"-1.5,1",21,3,0.7352219002569352,1
"-1.5,1",22,3,0.781372525893055,1
"-1.5,1",23,3,0.7494251116171408,1
"-1.5,1",24,3,0.7591000940268765,1
