reps,asp.mag,clim.sd,mean.lt.lam,max.lt.lam,seeds
1,0,0,1.141059069353668,1.141059069353668,17.881393432617188
1,1,0,1.1375051663928943,1.1375051663928943,19.371509552001953
1,2,0,1.1268101994807824,1.1268101994807824,21.6066837310791
1,3,0,1.108875832859951,1.108875832859951,26.82209014892578
1,4,0,1.0835466016740447,1.0835466016740447,35.762786865234375
1,5,0,1.0506362091556272,1.0506362091556272,53.64418029785156
1,6,0,1.0099901950672003,1.0099901950672003,87.91685104370117
1,7,0,0.9615869361400828,0.9615869361400828,163.91277313232422
1,8,0,0.9056063713081044,0.9056063713081044,339.74647521972656
1,9,0,0.8423305299309446,0.8423305299309446,810.6231689453125
1,10,0,0.7720249797092231,0.7720249797092231,2098.08349609375
1,11,0,0.6955995094559142,0.6955995094559142,5912.78076171875
1,12,0,0.61631854826618,0.61631854826618,16784.66796875
1,13,9,0.5791207750278204,0.6032915008620601,16021.728515625
1,14,10,0.5572471453843924,0.5696947267270825,22888.18359375
1,15,11,0.5381866953399271,0.5651310851423501,28228.759765625
1,16,13,0.5249782833724237,0.5394316630263195,41580.2001953125
1,17,14,0.5113043622364365,0.5427465397139339,53024.2919921875
1,18,16,0.5000651983358957,0.5185493031201076,73242.1875
1,19,17,0.4911174126624387,0.5092751985418753,93841.552734375
1,20,19,0.48416740516266465,0.4984891561057723,114440.91796875
1,21,18,0.4755897610174767,0.48966643073841193,140380.859375
1,22,19,0.46779865491038425,0.4797373853104253,190734.86328125
1,23,19,0.4608567000562798,0.47418162166554206,209045.41015625
1,24,20,0.45322544709394424,0.4601730478996368,262451.171875
1,25,20,0.4488417220856196,0.4577854236392072,433349.609375
2,0,0,1.141059069353668,1.141059069353668,17.881393432617188
2,1,0,1.1375051663928943,1.1375051663928943,19.371509552001953
2,2,0,1.1268101994807824,1.1268101994807824,21.6066837310791
2,3,0,1.108875832859951,1.108875832859951,26.82209014892578
2,4,0,1.0835466016740447,1.0835466016740447,35.762786865234375
2,5,0,1.0506362091556272,1.0506362091556272,53.64418029785156
2,6,0,1.0099901950672003,1.0099901950672003,87.91685104370117
2,7,0,0.9615869361400828,0.9615869361400828,163.91277313232422
2,8,0,0.9056063713081044,0.9056063713081044,339.74647521972656
2,9,0,0.8423305299309446,0.8423305299309446,810.6231689453125
2,10,0,0.7720249797092231,0.7720249797092231,2098.08349609375
2,11,0,0.6955995094559142,0.6955995094559142,5912.78076171875
2,12,0,0.61631854826618,0.61631854826618,16784.66796875
2,13,9,0.5791207750278204,0.6032915008620601,13923.64501953125
2,14,10,0.5572471453843924,0.5696947267270825,22506.7138671875
2,15,11,0.5381866953399271,0.5651310851423501,37002.5634765625
2,16,13,0.5249782833724237,0.5394316630263195,47302.24609375
2,17,14,0.5113043622364365,0.5427465397139339,59127.8076171875
2,18,16,0.5000651983358957,0.5185493031201076,99945.068359375
2,19,17,0.4911174126624387,0.5092751985418753,103759.765625
2,20,19,0.48416740516266465,0.4984891561057723,90789.794921875
2,21,18,0.4755897610174767,0.48966643073841193,138092.041015625
2,22,19,0.46779865491038425,0.4797373853104253,183105.46875
2,23,19,0.4608567000562798,0.47418162166554206,122070.3125
2,24,20,0.45322544709394424,0.4601730478996368,225830.078125
2,25,20,0.4488417220856196,0.4577854236392072,360107.421875
3,0,0,1.141059069353668,1.141059069353668,17.881393432617188
3,1,0,1.1375051663928943,1.1375051663928943,19.371509552001953
3,2,0,1.1268101994807824,1.1268101994807824,21.6066837310791
3,3,0,1.108875832859951,1.108875832859951,26.82209014892578
3,4,0,1.0835466016740447,1.0835466016740447,35.762786865234375
3,5,0,1.0506362091556272,1.0506362091556272,53.64418029785156
3,6,0,1.0099901950672003,1.0099901950672003,87.91685104370117
3,7,0,0.9615869361400828,0.9615869361400828,163.91277313232422
3,8,0,0.9056063713081044,0.9056063713081044,339.74647521972656
3,9,0,0.8423305299309446,0.8423305299309446,810.6231689453125
3,10,0,0.7720249797092231,0.7720249797092231,2098.08349609375
3,11,0,0.6955995094559142,0.6955995094559142,5912.78076171875
3,12,0,0.61631854826618,0.61631854826618,16784.66796875
3,13,9,0.5791207750278204,0.6032915008620601,16784.66796875
3,14,10,0.5572471453843924,0.5696947267270825,23651.123046875
3,15,11,0.5381866953399271,0.5651310851423501,38146.97265625
3,16,13,0.5249782833724237,0.5394316630263195,45394.8974609375
3,17,14,0.5113043622364365,0.5427465397139339,67901.611328125
3,18,16,0.5000651983358957,0.5185493031201076,80108.642578125
3,19,17,0.4911174126624387,0.5092751985418753,68664.55078125
3,20,19,0.48416740516266465,0.4984891561057723,128936.767578125
3,21,18,0.4755897610174767,0.48966643073841193,166320.80078125
3,22,19,0.46779865491038425,0.4797373853104253,227355.95703125
3,23,19,0.4608567000562798,0.47418162166554206,207519.53125
3,24,20,0.45322544709394424,0.4601730478996368,418090.8203125
3,25,20,0.4488417220856196,0.4577854236392072,329589.84375
4,0,0,1.141059069353668,1.141059069353668,17.881393432617188
4,1,0,1.1375051663928943,1.1375051663928943,19.371509552001953
4,2,0,1.1268101994807824,1.1268101994807824,21.6066837310791
4,3,0,1.108875832859951,1.108875832859951,26.82209014892578
4,4,0,1.0835466016740447,1.0835466016740447,35.762786865234375
4,5,0,1.0506362091556272,1.0506362091556272,53.64418029785156
4,6,0,1.0099901950672003,1.0099901950672003,87.91685104370117
4,7,0,0.9615869361400828,0.9615869361400828,163.91277313232422
4,8,0,0.9056063713081044,0.9056063713081044,339.74647521972656
4,9,0,0.8423305299309446,0.8423305299309446,810.6231689453125
