clim.sd,asp.mag,lt.lam,rep
0,0,1.2561119487386405,1
1,0,1.2524641671730976,1
2,0,1.2425081090552048,1
3,0,1.2214326000633073,1
4,0,1.2001260697710712,1
5,0,1.1704502467232456,1
6,0,1.137534218269725,1
7,0,1.0910060244625666,1
8,0,1.027522637833256,1
9,0,1.0066590730989187,1
10,0,0.9546976544729024,1
11,0,0.9517626304478664,1
12,0,0.9152454270630571,1
13,0,0.8725540749417533,1
14,0,0.8510239367482879,1
15,0,0.8056477724597242,1
16,0,0.7883487119181964,1
17,0,0.7828444285961303,1
18,0,0.7434768974293668,1
19,0,0.7754082175070799,1
20,0,0.7349603067187451,1
21,0,0.7141044010446624,1
22,0,0.6771838216776588,1
23,0,0.7029345974660428,1
24,0,0.6799829871935634,1
25,0,0.6781228802998197,1
26,0,0.6783555403872222,1
27,0,0.6482906898070224,1
28,0,0.6712753609890251,1
29,0,0.64853962288078,1
30,0,0.625596138536926,1
0,1,1.2524774236913772,1
1,1,1.248953246875088,1
2,1,1.2383486547596503,1
3,1,1.2212029134420934,1
4,1,1.1934554117025862,1
5,1,1.166712409769852,1
6,1,1.1345383620515026,1
7,1,1.0941982230114569,1
8,1,1.0315342178139488,1
9,1,1.0199092671056156,1
10,1,0.9495083080785734,1
11,1,0.9065168564769688,1
12,1,0.8907006890033592,1
13,1,0.853384517837474,1
14,1,0.8302724792191499,1
15,1,0.8294710740849429,1
16,1,0.7671429717273577,1
17,1,0.7493065400872221,1
18,1,0.7637172096243814,1
19,1,0.754020258529831,1
20,1,0.7381639206804744,1
21,1,0.7309021865458235,1
22,1,0.7110908059171175,1
23,1,0.6851017445350029,1
24,1,0.6902652637443436,1
25,1,0.667865768382432,1
26,1,0.6773087224967452,1
27,1,0.6549417650692099,1
28,1,0.6704743474526892,1
29,1,0.6467460766640137,1
30,1,0.6518519302315653,1
0,2,1.2415989558082265,1
1,2,1.2376996642667484,1
2,2,1.2282191371872744,1
3,2,1.2079008225263164,1
4,2,1.188971876093284,1
5,2,1.1440404992729472,1
6,2,1.1090730151496841,1
7,2,1.0913509236336048,1
8,2,1.036974727646653,1
9,2,0.9973968515459039,1
10,2,0.9478845486720563,1
11,2,0.9207384108878367,1
12,2,0.9016642193274358,1
13,2,0.8736027363365967,1
14,2,0.8211538442541741,1
15,2,0.8064250354261708,1
16,2,0.7853447171772896,1
17,2,0.745263539658975,1
18,2,0.7663007376490895,1
19,2,0.7523890480968277,1
20,2,0.7307915856088929,1
21,2,0.7238679796958178,1
22,2,0.716420939956058,1
23,2,0.6888829755837129,1
24,2,0.6802345474614429,1
25,2,0.6787457465482188,1
26,2,0.6866362549918035,1
27,2,0.6808191954869609,1
28,2,0.6773521238713816,1
29,2,0.6616273427822414,1
30,2,0.6746409856747215,1
0,3,1.2235561850684853,1
1,3,1.2201304669723416,1
2,3,1.2073777031962478,1
