asp.mag,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
23,20,0.6209569852922853,0.6399206087106362,21362.3046875,2
24,23,0.6140501935718883,0.629078348149354,36239.6240234375,2
25,25,0.6105567477858989,0.6287931458865162,35858.154296875,2
26,23,0.6067025686354929,0.6213637970554277,37002.5634765625,2
27,28,0.5993333225612233,0.6101491352025744,45013.427734375,2
28,24,0.5969611495427529,0.6085204017451312,47302.24609375,2
29,30,0.5918971622245384,0.6022531079756548,45013.427734375,2
30,25,0.5883268500528983,0.5968745262728989,61798.095703125,2
0,0,1.2561119487386405,1.2561119487386405,20.86162567138672,3
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,3
2,0,1.2415989558082265,1.2415989558082265,23.096799850463867,3
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,3
4,0,1.198495789451586,1.198495789451586,32.03749656677246,3
5,0,1.1666509339076359,1.1666509339076359,41.72325134277344,3
6,0,1.1283659083686621,1.1283659083686621,58.11452865600586,3
7,0,1.084123875412064,1.084123875412064,86.4267349243164,3
8,0,1.034574514797511,1.034574514797511,140.07091522216797,3
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,3
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,3
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,3
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,3
13,8,0.747952910462875,0.7609728356318737,3004.0740966796875,3
14,11,0.7283288692043473,0.7425578969979933,4482.269287109375,3
15,12,0.7052941112289526,0.7305305712202538,6103.515625,3
16,12,0.6887024744144454,0.7051513291806121,8964.53857421875,3
17,16,0.6734514921233269,0.6930694673856298,8964.53857421875,3
18,16,0.6640041596660482,0.6773356630339334,12779.23583984375,3
19,16,0.6525238244184988,0.6642509809191538,10967.254638671875,3
20,18,0.6447933495691993,0.6564829328303718,17547.607421875,3
21,19,0.637668859023862,0.6485036021424216,14686.58447265625,3
22,22,0.6286358366151017,0.6399057405213199,23078.91845703125,3
23,20,0.6209569852922853,0.6399206087106362,21743.7744140625,3
24,23,0.6140501935718883,0.629078348149354,38909.912109375,3
25,25,0.6105567477858989,0.6287931458865162,33950.8056640625,3
26,23,0.6067025686354929,0.6213637970554277,41580.2001953125,3
27,28,0.5993333225612233,0.6101491352025744,51116.943359375,3
28,24,0.5969611495427529,0.6085204017451312,56457.51953125,3
29,30,0.5918971622245384,0.6022531079756548,43487.548828125,3
30,25,0.5883268500528983,0.5968745262728989,64849.853515625,3
0,0,1.2561119487386405,1.2561119487386405,20.86162567138672,4
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,4
2,0,1.2415989558082265,1.2415989558082265,23.096799850463867,4
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,4
4,0,1.198495789451586,1.198495789451586,32.03749656677246,4
5,0,1.1666509339076359,1.1666509339076359,41.72325134277344,4
6,0,1.1283659083686621,1.1283659083686621,58.11452865600586,4
7,0,1.084123875412064,1.084123875412064,86.4267349243164,4
8,0,1.034574514797511,1.034574514797511,140.07091522216797,4
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,4
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,4
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,4
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,4
13,8,0.747952910462875,0.7609728356318737,2884.8648071289062,4
14,11,0.7283288692043473,0.7425578969979933,4386.90185546875,4
15,12,0.7052941112289526,0.7305305712202538,5435.943603515625,4
16,12,0.6887024744144454,0.7051513291806121,8392.333984375,4
17,16,0.6734514921233269,0.6930694673856298,10299.6826171875,4
18,16,0.6640041596660482,0.6773356630339334,11825.5615234375,4
19,16,0.6525238244184988,0.6642509809191538,19836.42578125,4
20,18,0.6447933495691993,0.6564829328303718,16403.1982421875,4
